N	2gram	Bakhtin_Pr_4	UchenyiS
1	и в	46	14
2	а не	11	10
3	не только	14	10
4	и не	27	8
5	прежде всего	9	8
6	то что	4	7
7	в этом	16	7
8	не может	19	7
9	может быть	23	6
10	в художественном	2	5
11	хотя бы	2	5
12	все это	6	5
13	и только	3	5
14	то же	6	5
15	но и	12	4
16	в этой	3	4
17	в их	4	4
18	конечно не	8	4
19	с другой	3	4
20	что такое	2	4
21	только к	2	3
22	но в	6	3
23	как и	12	3
24	все же	4	3
25	в своей	3	3
26	для этого	2	3
27	же время	5	3
28	другой стороны	3	3
29	для него	2	3
30	это не	5	3
31	в то	5	3
32	не как	3	3
33	было бы	3	3
34	и т.д	3	3
35	у нас	2	3
36	но конечно	2	2
37	том что	4	2
38	но не	4	2
39	в том	9	2
40	по существу	3	2
41	мы не	4	2
42	с его	5	2
43	не в	10	2
44	и для	3	2
45	но это	6	2
46	мы и	3	2
47	бы и	2	2
48	должна быть	2	2
49	этом смысле	2	2
50	если бы	3	2
51	только в	6	2
52	и с	7	2
53	тем что	3	2
54	сих пор	8	2
55	могут быть	2	2
56	именно как	2	2
57	что он	6	2
58	в себе	7	2
59	в системе	2	2
60	как раз	7	2
61	до сих	8	2
62	что мы	2	2
63	установку на	2	2
64	в конце	3	2
65	к области	2	2
66	и через	2	2
67	в самом	9	2
68	не могут	3	2
69	меньшей степени	2	2
70	по себе	7	2
71	превращается в	4	2
72	одним из	3	2
73	ничего не	2	2
74	самом деле	4	2
75	а как	2	2
76	и является	2	2
77	а между	2	2
78	что и	3	2
79	в его	9	2
80	между тем	2	2
81	таким образом	4	2
