N	2gram	Propp_Isto_7	TeoriaLi
1	не только	21	18
2	в качестве	3	17
3	тогда как	3	16
4	и не	4	16
5	а в	10	14
6	и в	24	13
7	может быть	14	12
8	так и	5	12
9	представляет собой	4	11
10	при этом	4	11
11	в этом	12	11
12	в том	7	11
13	но не	6	10
14	а не	8	10
15	и его	3	10
16	то же	8	9
17	что в	13	8
18	своего рода	4	8
19	но и	11	8
20	том что	10	7
21	в данном	4	7
22	точки зрения	4	7
23	в то	2	7
24	только в	6	7
25	как это	2	7
26	с его	3	6
27	еще не	8	6
28	как бы	4	6
29	в русской	5	6
30	но в	5	6
31	в ее	2	5
32	как и	6	5
33	не в	9	5
34	в самом	2	5
35	в нем	6	5
36	данном случае	3	5
37	как в	12	5
38	он не	6	5
39	уже не	2	5
40	с другой	9	5
41	не случайно	3	5
42	мы имеем	12	5
43	героя и	5	5
44	не менее	5	4
45	не столько	3	4
46	ни в	2	4
47	то что	7	4
48	отношение к	5	4
49	в форме	2	4
50	в их	4	4
51	не может	14	4
52	сказать что	2	4
53	хотя и	3	4
54	но он	2	4
55	и ее	2	4
56	перед нами	2	3
57	и др	2	3
58	никогда не	4	3
59	в этих	13	3
60	со своей	2	3
61	прежде всего	2	3
62	тем не	4	3
63	того что	6	3
64	например в	3	3
65	не все	3	3
66	другой стороны	8	3
67	так в	4	3
68	таким образом	7	3
69	и что	10	3
70	и по	3	3
71	или в	8	3
72	потому что	9	3
73	в основе	2	3
74	его в	3	3
75	все эти	2	3
76	герой не	3	3
77	восходит к	2	2
78	способность к	2	2
79	в конце	3	2
80	того же	2	2
81	это не	10	2
82	вовсе не	4	2
83	в литературе	2	2
84	что он	21	2
85	об этом	6	2
86	что они	3	2
87	одной стороны	5	2
88	рассказ о	2	2
89	одной из	4	2
90	здесь мы	5	2
91	и тем	2	2
92	к нему	7	2
93	во всех	7	2
94	вместе с	7	2
95	дело не	5	2
96	со стороны	2	2
97	а именно	6	2
98	вытекает из	2	2
99	здесь не	2	2
100	с одной	5	2
101	и о	2	2
102	и даже	3	2
103	так же	6	2
104	право на	5	2
105	как такой	2	2
106	у него	10	2
107	на себя	2	2
108	и здесь	12	2
109	о том	9	2
110	и это	2	2
111	в чем	5	2
112	в которой	2	2
