N	2gram	Vinokur_Vv_1	Analitik
1	в тексте	4	24
2	тогда как	2	19
3	в этом	34	18
4	в частности	3	16
5	и в	27	16
6	не только	21	16
7	как и	5	14
8	в том	31	12
9	своего рода	3	12
10	но и	5	12
11	и не	13	12
12	том что	26	12
13	в качестве	7	11
14	могут быть	4	10
15	как бы	5	10
16	при этом	3	10
17	а не	3	10
18	и даже	5	9
19	в этой	3	9
20	ничего не	2	9
21	в данном	11	8
22	состоит в	2	8
23	в целом	5	8
24	представляет собой	12	8
25	к тому	4	7
26	в себе	4	7
27	то что	17	7
28	о том	15	7
29	а также	3	7
30	с другой	8	6
31	в самом	12	6
32	и на	3	6
33	говорить о	3	6
34	может быть	24	6
35	как это	5	6
36	но в	10	6
37	говорит о	3	5
38	данном случае	5	5
39	с одной	4	5
40	не менее	8	4
41	в своем	3	4
42	в конце	3	4
43	можно сказать	3	4
44	этом случае	6	4
45	уже не	5	4
46	не в	8	4
47	но не	7	4
48	того же	3	4
49	одной стороны	4	4
50	в сущности	3	4
51	времени в	3	4
52	и тем	5	4
53	не с	2	4
54	отношению к	4	4
55	во второй	3	4
56	во всех	2	4
57	все это	6	4
58	как раз	4	4
59	по отношению	4	4
60	не может	13	4
61	на этом	3	4
62	и его	5	4
63	то же	8	4
64	хотя и	3	4
65	точки зрения	7	4
66	только в	13	4
67	нашего времени	2	4
68	казалось бы	2	3
69	никогда не	3	3
70	как о	4	3
71	не столько	2	3
72	по крайней	4	3
73	прежде всего	8	3
74	как уже	2	3
75	этого слова	2	3
76	одной из	3	3
77	тем не	8	3
78	не мог	2	3
79	так что	5	3
80	было бы	5	3
81	и сам	2	3
82	крайней мере	4	3
83	несмотря на	2	3
84	мы имеем	3	3
85	в центре	4	3
86	что и	3	3
87	из них	3	3
88	со стороны	12	3
89	в их	11	3
90	только на	3	3
91	если бы	2	3
92	ответ на	3	3
93	этом отношении	3	3
94	именно в	8	3
95	литературное произведение	2	3
96	можно было	7	3
97	а в	5	3
98	как мы	9	3
99	и то	5	3
100	в результате	3	3
101	тем что	6	3
102	как будто	3	3
103	и т.д	4	3
104	в общем	12	2
105	а как	3	2
106	того что	12	2
107	речь идет	2	2
108	уже и	7	2
109	вообще не	3	2
110	в одном	4	2
111	этом смысле	11	2
112	к этому	3	2
113	вовсе не	6	2
114	или иных	3	2
115	по себе	9	2
116	отличие от	3	2
117	по существу	2	2
118	в соответствии	2	2
119	из его	2	2
120	должна была	2	2
121	соответствии с	2	2
122	же время	5	2
123	что в	11	2
124	так например	6	2
125	что с	3	2
126	с их	5	2
127	еще не	4	2
128	о чем	4	2
129	такого рода	2	2
130	в своей	4	2
131	текста и	3	2
132	ни с	2	2
133	в обоих	2	2
134	в котором	4	2
135	один из	6	2
136	не есть	4	2
137	на этой	3	2
138	себя в	2	2
139	в отличие	3	2
140	вместе с	6	2
141	дело не	3	2
142	что она	3	2
143	другой стороны	5	2
144	внимание на	4	2
145	вообще и	3	2
146	языка и	12	2
147	таким образом	19	2
148	той же	4	2
149	на котором	2	2
150	т е	38	2
151	и наоборот	2	2
152	тех или	3	2
153	в значительной	2	2
154	этих случаях	2	2
155	на этот	4	2
156	не имеет	4	2
157	и для	4	2
158	с точки	2	2
159	так же	3	2
160	и до	2	2
161	не следует	2	2
162	между тем	8	2
163	одно из	5	2
164	он и	2	2
165	этого рода	8	2
166	на протяжении	2	2
167	это только	4	2
168	в то	5	2
169	в его	10	2
170	его в	6	2
171	представляют собой	6	2
172	целого и	2	2
173	в этих	3	2
174	собой в	2	2
175	сказать что	5	2
176	особого рода	4	2
