N	2gram	Losev_Dial_4	Tvorches
1	у достоевского	2	30
2	и в	15	20
3	не только	8	13
4	и т	17	13
5	никогда не	2	11
6	т д	15	11
7	как бы	14	11
8	в его	4	10
9	таким образом	5	10
10	в то	6	10
11	и его	7	9
12	и не	30	9
13	прежде всего	11	8
14	в том	11	8
15	при этом	2	8
16	но и	4	8
17	может быть	17	8
18	в этом	11	8
19	и с	4	8
20	это не	12	7
21	представление о	2	7
22	же время	6	7
23	что в	7	7
24	не может	11	7
25	то же	9	7
26	потому что	10	7
27	что он	7	6
28	как и	7	6
29	в своей	3	6
30	так и	5	6
31	все это	9	6
32	именно в	5	6
33	а не	18	6
34	но это	4	5
35	еще не	4	5
36	все же	2	5
37	и даже	6	5
38	так же	4	5
39	и на	5	5
40	в этой	4	5
41	о том	5	5
42	об этом	3	4
43	мы не	9	4
44	показывает что	2	4
45	том что	10	4
46	мы видим	4	4
47	что они	4	4
48	отнюдь не	4	4
49	хотя и	6	4
50	что она	5	4
51	когда он	3	4
52	как в	3	4
53	все эти	3	4
54	тем самым	3	4
55	не в	8	4
56	в чем	8	4
57	и потому	3	4
58	ничего не	17	4
59	если бы	6	4
60	но в	3	4
61	с этой	2	3
62	человека и	2	3
63	к этому	3	3
64	с ним	3	3
65	в пользу	2	3
66	что не	3	3
67	одной из	2	3
68	в самом	2	3
69	и мы	7	3
70	в котором	2	3
71	один из	4	3
72	в нем	5	3
73	то что	16	3
74	и это	8	3
75	вместе с	2	3
76	в их	3	3
77	так как	14	3
78	в свете	5	3
79	уже не	9	3
80	тем что	2	3
81	в себе	8	3
82	нет ничего	6	3
83	не менее	2	2
84	и есть	19	2
85	личности в	5	2
86	и без	2	2
87	по крайней	7	2
88	в одном	4	2
89	я не	5	2
90	не мешает	2	2
91	вовсе не	6	2
92	в этот	2	2
93	во всяком	2	2
94	и ее	8	2
95	что на	2	2
96	крайней мере	7	2
97	в ее	2	2
98	у нас	3	2
99	д и	3	2
100	так что	6	2
101	что я	5	2
102	как о	2	2
103	и если	3	2
104	в частности	2	2
105	видим в	2	2
106	но если	5	2
107	к жизни	3	2
108	нет и	2	2
109	не могли	2	2
110	только для	3	2
111	себя в	2	2
112	в истории	3	2
113	и тогда	2	2
114	бы не	2	2
115	ночь у	2	2
116	не было	2	2
117	и что	9	2
118	и наконец	3	2
119	другой стороны	2	2
120	и по	2	2
121	идеи в	2	2
122	с ними	4	2
123	что этот	2	2
124	в основе	10	2
125	из них	2	2
126	в виде	3	2
127	могут быть	3	2
128	известно что	3	2
129	в которой	2	2
130	он всегда	2	2
131	говорить о	11	2
132	и вообще	7	2
133	и только	2	2
134	только в	7	2
135	при помощи	3	2
136	это все	2	2
137	едва ли	3	2
138	познания и	2	2
139	отличие от	2	2
140	более не	3	2
141	тоже не	2	2
