N	2gram	Losev_Dial_3	VelikijI
1	и не	27	20
2	и в	24	16
3	то что	14	9
4	так как	6	9
5	еще не	2	8
6	от бога	2	8
7	в истории	4	8
8	и потому	2	7
9	а не	26	7
10	не есть	54	6
11	хотя и	5	5
12	как бы	3	5
13	но и	9	5
14	все это	6	5
15	что есть	4	5
16	того что	12	5
17	на себя	3	5
18	и есть	16	4
19	что все	14	4
20	и я	3	4
21	что он	13	4
22	в нем	3	4
23	как и	7	4
24	все что	3	4
25	что мы	8	4
26	так и	5	4
27	что не	5	4
28	потому что	7	4
29	в этом	8	4
30	в ней	2	4
31	говорить о	4	4
32	и все	6	4
33	в его	2	4
34	свою личность	2	4
35	с его	2	3
36	если не	3	3
37	должна быть	6	3
38	что в	7	3
39	в них	5	3
40	превращается в	6	3
41	ни в	9	3
42	в том	5	3
43	не в	3	3
44	но это	5	3
45	в вопросе	2	3
46	к тому	4	3
47	никогда не	7	3
48	оно не	6	3
49	то это	9	3
50	что и	6	3
51	жизни и	5	3
52	как не	2	3
53	тому что	4	3
54	не было	3	3
55	и они	2	3
56	и что	15	3
57	не имеет	11	3
58	хотя бы	4	3
59	и для	2	3
60	должно быть	3	3
61	их в	2	3
62	личности и	5	3
63	все эти	3	3
64	нет ничего	9	3
65	в чем	4	3
66	но в	2	3
67	что их	2	2
68	не могут	4	2
69	это не	4	2
70	вечность и	2	2
71	прежде всего	8	2
72	для нас	2	2
73	том что	8	2
74	мы и	4	2
75	одна из	3	2
76	но не	2	2
77	конечно не	4	2
78	для него	4	2
79	тогда уже	2	2
80	и во	2	2
81	не только	23	2
82	нет и	4	2
83	и т	24	2
84	не будет	3	2
85	вопросе о	2	2
86	ее в	2	2
87	и тогда	5	2
88	т д	23	2
89	истории и	4	2
90	личность как	2	2
91	все равно	2	2
92	ничего и	2	2
93	тем что	3	2
94	мы не	5	2
95	уже не	5	2
96	я думаю	2	2
97	его не	2	2
98	а в	2	2
99	и то	4	2
100	людей и	2	2
101	могут быть	2	2
102	раз навсегда	2	2
103	мир и	3	2
104	только в	5	2
105	и это	4	2
106	во всяком	2	2
