N	3gram	Vygotskiy__7	Psycholo
1	для того чтобы	18	19
2	на то что	4	16
3	в том что	13	14
4	с одной стороны	5	12
5	в сущности говоря	2	8
6	что в этом	2	6
7	к тому что	6	6
8	о том что	4	6
9	заключается в том	4	6
10	в самом деле	4	5
11	так же точно	3	5
12	до сих пор	3	5
13	по сравнению с	7	4
14	не только не	9	4
15	по этому поводу	3	4
16	мы могли бы	4	4
17	в этом отношении	3	3
18	из того что	2	3
19	в лучшем случае	2	3
20	и то же	3	3
21	одним и тем	2	3
22	и тем же	2	3
23	одно и то	3	3
24	с самого начала	7	3
25	вместе с тем	4	3
26	то же самое	5	3
27	и то что	3	3
28	в учении о	6	3
29	друг с другом	2	3
30	можно сказать что	3	2
31	друг от друга	2	2
32	бы сказать что	2	2
33	могли бы сказать	2	2
34	в данном случае	5	2
35	в отличие от	2	2
36	нечто такое что	2	2
37	так же как	7	2
38	состоит в том	3	2
39	мы говорили выше	2	2
40	с точки зрения	21	2
41	и той же	2	2
42	о которых мы	2	2
43	в том и	3	2
44	не может быть	4	2
45	то о чем	4	2
46	на самом деле	2	2
47	одной и той	2	2
48	в этом случае	14	2
49	потому что он	2	2
