N	2gram	Voloshinov_1	Hudozhes
1	в качестве	2	19
2	и не	26	16
3	в том	6	15
4	и в	19	15
5	не только	8	15
6	в частности	2	13
7	может быть	26	13
8	при этом	8	12
9	а в	4	12
10	и его	19	12
11	в этом	16	11
12	в себе	2	11
13	как бы	15	10
14	отношению к	2	10
15	но и	8	10
16	так и	11	10
17	по отношению	3	10
18	то же	7	10
19	а не	7	10
20	в его	6	9
21	точки зрения	34	9
22	сводится к	3	8
23	с другой	5	7
24	или иной	3	7
25	в отличие	5	7
26	внутренней речи	9	7
27	в то	3	7
28	отличие от	5	7
29	но в	7	7
30	в основе	2	6
31	что в	4	6
32	в ее	7	6
33	том что	3	6
34	не в	5	6
35	же время	3	6
36	не может	24	6
37	могут быть	2	5
38	можно сказать	3	5
39	ни в	2	5
40	только в	9	5
41	в самом	10	5
42	того что	3	5
43	в нем	10	5
44	с ее	2	5
45	то что	8	5
46	между ними	4	5
47	и т.п	10	5
48	другой стороны	6	5
49	место в	3	4
50	знакового материала	3	4
51	не столько	4	4
52	прежде всего	13	4
53	к тому	2	4
54	и как	3	4
55	в другом	2	4
56	для него	9	4
57	еще не	4	4
58	он не	3	4
59	в своей	3	4
60	как к	2	4
61	входит в	5	4
62	в слове	10	4
63	сказать что	4	4
64	между тем	3	4
65	речи и	3	4
66	не знает	2	4
67	без исключения	8	4
68	и т.д	2	4
69	не менее	4	3
70	если бы	2	3
71	в отношении	4	3
72	одного и	5	3
73	этом смысле	2	3
74	что он	2	3
75	и к	3	3
76	к его	2	3
77	тем не	2	3
78	и того	6	3
79	в пределах	6	3
80	всех без	4	3
81	того же	6	3
82	в свою	2	3
83	мог бы	2	3
84	имеет место	2	3
85	как раз	2	3
86	далеко не	4	3
87	не будет	4	3
88	таким образом	17	3
89	как и	12	3
90	лишь в	9	3
91	во втором	2	3
92	с точки	20	3
93	и для	11	3
94	в таком	2	3
95	и ее	3	3
96	в данном	4	3
97	в русской	2	3
98	его в	3	3
99	в которой	3	3
100	в области	3	3
101	в виду	2	3
102	том числе	2	2
103	сама по	2	2
104	и более	2	2
105	таком случае	2	2
106	ни к	2	2
107	в контексте	8	2
108	числе и	2	2
109	в нашем	2	2
110	тому что	2	2
111	жизни в	4	2
112	в своем	2	2
113	не как	2	2
114	вовсе не	5	2
115	по себе	4	2
116	в литературе	2	2
117	к своему	2	2
118	данный момент	2	2
119	одна из	2	2
120	свою очередь	2	2
121	могла бы	2	2
122	за пределы	5	2
123	во всех	7	2
124	одной из	3	2
125	совпадает с	2	2
126	и потому	5	2
127	за пределами	2	2
128	на почве	6	2
129	не является	4	2
130	не могло	2	2
131	не все	2	2
132	и др	2	2
133	по преимуществу	5	2
134	как в	4	2
135	слова как	7	2
136	и прежде	2	2
137	в романе	2	2
138	именно в	5	2
139	все эти	7	2
140	это и	3	2
141	того чтобы	5	2
142	для того	4	2
143	из которых	2	2
144	или в	2	2
145	к другому	3	2
146	так же	7	2
147	или иначе	2	2
148	с другими	3	2
149	и на	4	2
150	нового времени	2	2
151	между двумя	3	2
152	языка в	14	2
153	отношении к	4	2
154	о том	2	2
155	жизни но	2	2
156	и это	3	2
157	из этого	2	2
158	мира и	2	2
159	в чем	2	2
160	в данный	2	2
