N	2gram	Berdyaev_M_2	Freidism
1	и не	18	23
2	– это	2	21
3	не может	15	20
4	точки зрения	2	19
5	прежде всего	12	18
6	в этом	20	15
7	в его	5	15
8	это –	22	14
9	может быть	21	13
10	к матери	2	12
11	и его	5	12
12	– в	2	11
13	как и	13	11
14	как бы	8	11
15	то что	5	11
16	и потому	7	10
17	так и	4	10
18	его в	3	10
19	с ним	3	10
20	но в	10	10
21	с его	4	9
22	и в	46	9
23	во всех	2	9
24	по отношению	2	9
25	все что	4	8
26	что он	7	8
27	отношению к	2	8
28	в своей	5	8
29	он не	10	8
30	не только	18	8
31	то же	5	8
32	только в	3	8
33	и все	5	8
34	так как	8	8
35	ни в	3	7
36	тот же	2	7
37	к нему	2	7
38	один из	5	7
39	отношение к	8	7
40	в самом	5	7
41	что же	2	7
42	– не	3	7
43	те же	5	7
44	сказать что	3	7
45	никогда не	18	6
46	для него	18	6
47	того что	6	6
48	в ней	11	6
49	хотя бы	7	6
50	– все	2	6
51	и с	3	6
52	и к	7	5
53	он сам	6	5
54	в свою	4	5
55	не в	9	5
56	в этой	7	5
57	в чем	3	5
58	для этого	4	5
59	что в	4	5
60	но и	15	5
61	для того	5	5
62	а в	2	5
63	и на	3	5
64	я и	2	5
65	я не	5	4
66	сознания и	2	4
67	человека –	3	4
68	в этих	2	4
69	в жизни	4	4
70	к тому	5	4
71	на этом	2	4
72	смысле слова	3	4
73	от того	3	4
74	в основе	2	4
75	в нем	22	4
76	и за	2	4
77	не было	11	4
78	уже не	4	4
79	того чтобы	4	4
80	и для	7	4
81	совсем не	5	4
82	в которой	2	4
83	той же	3	4
84	потому что	12	4
85	в более	2	4
86	себя и	3	4
87	если бы	3	3
88	и есть	8	3
89	тому что	4	3
90	в них	3	3
91	и от	3	3
92	к себе	2	3
93	что все	5	3
94	в себе	10	3
95	он был	9	3
96	но это	8	3
97	человека к	8	3
98	она не	8	3
99	и тот	2	3
100	и она	3	3
101	и той	2	3
102	ее в	2	3
103	себя в	4	3
104	жизни и	6	3
105	вместе с	2	3
106	этот процесс	2	3
107	и те	2	3
108	не знает	9	3
109	как в	7	3
110	чем не	2	3
111	одной и	2	3
112	и вот	5	3
113	и что	2	3
114	у него	22	3
115	и этим	2	3
116	человека и	7	3
117	есть и	3	2
118	в отношении	5	2
119	уже в	2	2
120	человека в	14	2
121	что это	6	2
122	человека на	2	2
123	быть и	2	2
124	гармонии и	5	2
125	в нашем	7	2
126	это не	5	2
127	оно не	2	2
128	же что	2	2
129	в конце	5	2
130	в такой	3	2
131	человек не	7	2
132	– говорит	4	2
133	до конца	4	2
134	да и	2	2
135	это и	3	2
136	том что	4	2
137	и религия	3	2
138	самого себя	4	2
139	высшей степени	3	2
140	они и	4	2
141	не существует	3	2
142	а не	13	2
143	всю жизнь	3	2
144	связано с	3	2
145	он –	8	2
146	– есть	2	2
147	его отношение	4	2
148	но для	2	2
149	как ее	2	2
150	в своем	8	2
151	себе и	2	2
152	на почве	3	2
153	каждого человека	3	2
154	влечет к	3	2
155	сих пор	3	2
156	что она	5	2
157	отношения к	2	2
158	чтобы не	3	2
159	должны быть	4	2
160	другого человека	2	2
161	в высшей	3	2
162	так же	6	2
163	мы видим	2	2
164	когда человек	2	2
165	от этого	2	2
166	правда в	2	2
167	они не	4	2
168	в своих	3	2
169	из этой	2	2
170	что и	4	2
171	до сих	3	2
172	и самое	2	2
173	в глубине	3	2
174	только с	3	2
175	и поэтому	2	2
