N	2gram	Ircho_Kome_2	NovoeSre
1	не может	3	16
2	и в	26	16
3	нового времени	2	12
4	и не	14	11
5	и есть	2	10
6	что в	9	9
7	жизни и	3	8
8	как не	2	8
9	он не	2	8
10	в том	11	8
11	как и	4	7
12	в этом	10	7
13	может быть	11	7
14	с его	5	6
15	не в	2	6
16	ни в	5	6
17	в нем	6	5
18	все это	3	5
19	и к	2	5
20	в ней	3	5
21	не только	7	5
22	не менее	4	4
23	то что	6	4
24	в них	4	4
25	это не	2	4
26	и все	2	4
27	не было	3	4
28	не имеет	3	4
29	и для	4	4
30	потому что	6	4
31	по своему	2	4
32	античного мира	2	4
33	прежде всего	4	4
34	о том	6	4
35	но и	10	3
36	в своей	3	3
37	в истории	5	3
38	с другой	2	3
39	вопрос о	3	3
40	в духе	2	3
41	во всех	3	3
42	к тому	12	3
43	в мире	2	3
44	в ее	2	3
45	с тем	5	3
46	как в	3	3
47	еще не	6	3
48	наряду с	6	3
49	это было	4	3
50	времени в	2	2
51	на протяжении	10	2
52	все время	2	2
53	себя в	3	2
54	место в	4	2
55	у него	4	2
56	вместе с	9	2
57	так и	12	2
58	что она	2	2
59	и от	4	2
60	а в	3	2
61	с одной	2	2
62	этом смысле	2	2
63	нет и	2	2
64	роль в	2	2
65	того чтобы	6	2
66	одной стороны	2	2
67	хотя бы	2	2
68	но не	3	2
69	время как	2	2
70	мы не	2	2
71	войны и	3	2
72	том что	9	2
73	можно было	4	2
74	одна из	2	2
75	и с	5	2
76	и что	2	2
77	с этим	5	2
78	и на	7	2
79	с их	4	2
80	в то	6	2
81	как будто	4	2
82	и это	2	2
83	ни одна	2	2
84	как это	4	2
85	хотя и	4	2
86	но в	3	2
