N	2gram	Tiupa_Anal_2	RusskieA
1	и в	16	29
2	т е	2	24
3	что в	2	22
4	том что	12	22
5	в том	12	22
6	в поле	4	19
7	как бы	10	18
8	состоит в	8	15
9	может быть	6	13
10	как и	14	11
11	в этом	18	11
12	все это	4	10
13	не только	16	10
14	о том	7	9
15	а в	3	9
16	и м	2	8
17	но и	12	8
18	его в	2	8
19	данном случае	5	7
20	как в	4	7
21	за руки	2	7
22	или в	3	7
23	представляют собой	2	7
24	этом случае	4	6
25	еще не	2	6
26	вместе с	2	6
27	таким образом	2	6
28	при этом	10	6
29	и на	6	6
30	в данном	8	6
31	мы имеем	3	6
32	к этому	2	5
33	должна была	2	5
34	то что	7	5
35	но не	4	5
36	не может	4	5
37	но в	6	5
38	именно в	3	4
39	о чем	2	4
40	и все	3	4
41	а затем	2	4
42	уже не	4	4
43	по существу	2	4
44	так что	3	4
45	не в	4	4
46	этих случаях	2	4
47	из них	3	4
48	а также	7	4
49	так же	2	4
50	то же	4	4
51	а не	10	4
52	в таком	2	4
53	как это	6	4
54	на этом	4	3
55	тем что	3	3
56	в этих	2	3
57	в качестве	11	3
58	она не	2	3
59	того что	2	3
60	было бы	3	3
61	нас к	2	3
62	что она	2	3
63	в котором	2	3
64	не имеет	2	3
65	во всех	4	3
66	в отличие	2	3
67	или даже	2	3
68	как мы	3	3
69	тому как	3	3
70	между тем	2	3
71	подобно тому	3	3
72	в этой	9	3
73	в таких	2	3
74	отличие от	2	3
75	в эту	3	3
76	не менее	4	2
77	могут быть	10	2
78	никогда не	3	2
79	с другой	6	2
80	не столько	3	2
81	прежде всего	3	2
82	как уже	3	2
83	не был	3	2
84	что и	3	2
85	что с	2	2
86	говорит о	5	2
87	здесь в	2	2
88	одной стороны	4	2
89	что на	3	2
90	или их	2	2
91	тем не	3	2
92	за пределами	2	2
93	еще в	2	2
94	один из	2	2
95	на две	3	2
96	не с	4	2
97	в своей	2	2
98	дело не	2	2
99	в их	3	2
100	тогда как	19	2
101	с одной	5	2
102	и для	2	2
103	можно было	3	2
104	и то	3	2
105	одно из	2	2
106	на себя	5	2
107	в то	2	2
108	представляет собой	8	2
109	есть в	3	2
