N	2gram	Bakhtin_Fr_7	Problema
1	то есть	20	39
2	то что	8	38
3	и не	7	37
4	вовсе не	7	37
5	и в	41	35
6	не есть	2	33
7	не только	5	24
8	том что	4	19
9	о том	6	18
10	может быть	4	18
11	в этом	15	17
12	но и	9	16
13	только в	6	14
14	потому что	5	13
15	во всяком	2	13
16	не может	3	13
17	в том	11	12
18	того что	2	12
19	также и	2	12
20	что в	9	11
21	прежде всего	11	11
22	не просто	2	11
23	и с	4	10
24	еще не	2	10
25	а не	2	10
26	в данном	2	10
27	и то	2	10
28	ничего не	4	10
29	в этой	13	9
30	только на	2	9
31	уже не	2	8
32	было бы	4	8
33	в виду	4	8
34	в конце	8	7
35	совсем не	3	7
36	все эти	13	7
37	не имеет	3	7
38	в его	12	7
39	конце концов	4	7
40	так и	10	7
41	так как	3	7
42	тем самым	3	7
43	мы не	2	7
44	другими словами	2	6
45	что все	2	6
46	а только	2	6
47	ни в	6	6
48	но это	3	6
49	в то	10	6
50	есть не	2	6
51	и для	5	6
52	но в	8	6
53	в области	2	6
54	есть то	2	5
55	кроме того	3	5
56	в связи	2	5
57	с этим	2	5
58	так же	5	5
59	и на	4	5
60	и все	14	5
61	как и	14	5
62	по своему	2	5
63	то же	13	5
64	как мы	11	5
65	можно было	3	5
66	в себе	11	5
67	и это	5	5
68	и есть	3	4
69	в этих	2	4
70	в своем	9	4
71	в отношении	3	4
72	и как	2	4
73	есть в	6	4
74	более или	2	4
75	и самого	2	4
76	как бы	7	4
77	все это	10	4
78	таким образом	19	4
79	в область	3	4
80	а в	5	4
81	в результате	2	4
82	их в	2	4
83	и здесь	4	4
84	тем что	3	4
85	что он	3	4
86	тот же	2	4
87	но именно	3	4
88	или менее	2	4
89	на самом	2	4
90	которой он	2	4
91	далеко не	2	4
92	уже в	5	3
93	и от	8	3
94	к тому	2	3
95	нас не	2	3
96	несмотря на	3	3
97	хотя и	4	3
98	мы уже	12	3
99	никто не	10	3
100	и их	3	3
101	в их	3	3
102	не было	3	3
103	одновременно и	2	3
104	при этом	3	3
105	и наконец	4	3
106	и по	3	3
107	не знает	3	3
108	о котором	2	3
109	его в	3	3
110	здесь только	2	3
111	бы в	2	3
112	по этому	3	3
113	и к	5	3
114	одна из	4	3
115	все что	4	3
116	мы в	2	3
117	на том	2	3
118	оно не	2	3
119	не знаем	2	3
120	оказывается что	3	3
121	в значительной	2	3
122	с самого	2	3
123	мы здесь	2	3
124	в свете	3	3
125	нас в	3	3
126	как о	3	3
127	том числе	4	2
128	перед нами	2	2
129	это движение	2	2
130	на всю	2	2
131	в той	3	2
132	не в	9	2
133	в нее	3	2
134	но все	4	2
135	ведь все	3	2
136	числе и	2	2
137	из которых	2	2
138	и др	2	2
139	в состоянии	2	2
140	к нему	5	2
141	на этой	4	2
142	или в	2	2
143	должно быть	4	2
144	может иметь	2	2
145	в ней	5	2
146	точки зрения	5	2
147	имеем в	2	2
148	во все	2	2
149	в плане	5	2
150	это в	3	2
151	для всех	2	2
152	в них	7	2
153	содержится в	2	2
154	пространстве и	3	2
155	учение о	2	2
156	в качестве	9	2
157	в заключение	2	2
158	он не	4	2
159	о нем	3	2
160	а также	2	2
161	и времени	2	2
162	что и	5	2
163	во всех	3	2
164	вместе с	5	2
165	как нечто	2	2
166	еще более	2	2
167	свидетельствует о	2	2
168	той же	3	2
169	роль в	2	2
170	ничем не	3	2
171	из самых	3	2
172	и ее	2	2
173	здесь как	2	2
174	это было	2	2
