N	2gram	Tiupa_Disk_2	Problemy
1	и в	16	43
2	и не	15	29
3	может быть	16	23
4	как бы	4	22
5	не может	9	18
6	в пределах	4	16
7	но и	11	14
8	как и	16	14
9	точки зрения	4	13
10	в этом	16	13
11	что он	2	13
12	в нем	7	12
13	в одном	4	12
14	не в	3	11
15	не только	10	11
16	прежде всего	7	10
17	и на	5	10
18	но в	11	10
19	в его	3	10
20	никогда не	2	9
21	в большинстве	2	9
22	еще не	6	9
23	он не	3	9
24	для него	5	8
25	то же	6	8
26	с точки	2	8
27	и его	3	8
28	перед нами	3	7
29	в то	5	7
30	то что	5	7
31	что же	2	7
32	а не	14	7
33	в другом	3	7
34	в этих	3	6
35	в том	8	6
36	при этом	17	6
37	в котором	3	6
38	и наконец	3	6
39	и все	3	6
40	приводит к	3	6
41	здесь не	2	6
42	же время	5	5
43	все это	2	5
44	по отношению	4	5
45	все эти	3	5
46	а в	2	5
47	и с	2	5
48	но здесь	2	5
49	о том	4	5
50	но не	7	5
51	отношению к	4	5
52	в той	2	5
53	в себе	19	5
54	что в	5	4
55	в своем	5	4
56	с другой	5	4
57	но это	3	4
58	должно быть	2	4
59	в результате	2	4
60	их в	2	4
61	человека в	4	4
62	рассказ в	2	4
63	то есть	12	4
64	с его	6	4
65	в них	3	4
66	рассказчика и	2	4
67	в своей	6	4
68	не на	2	4
69	в отличие	12	4
70	себе самому	2	4
71	только в	3	4
72	далеко не	2	4
73	и это	2	4
74	отличие от	12	4
75	не менее	7	3
76	должна быть	2	3
77	это не	3	3
78	или иной	3	3
79	такой же	2	3
80	есть в	2	3
81	в формах	2	3
82	той или	3	3
83	того и	2	3
84	героя в	5	3
85	его в	3	3
86	между тем	2	3
87	но при	2	3
88	не знает	3	3
89	стороны и	2	3
90	того же	2	3
91	здесь в	3	3
92	что и	2	3
93	все же	6	3
94	себя в	6	3
95	рассказа в	2	3
96	так и	9	3
97	другого в	2	3
98	в себя	2	3
99	уже не	3	3
100	другой стороны	2	3
101	также и	3	3
102	и для	2	3
103	той же	2	3
104	в рассказе	4	3
105	могут быть	3	3
106	и ее	3	3
107	из этих	3	2
108	что на	2	2
109	ни в	7	2
110	который не	2	2
111	и как	3	2
112	времени и	2	2
113	например в	3	2
114	в целом	2	2
115	отношение к	2	2
116	образ человека	2	2
117	установку на	2	2
118	пожалуй и	2	2
119	в своих	6	2
120	из них	3	2
121	я и	4	2
122	произведения как	2	2
123	и всякое	2	2
124	и другого	2	2
125	одно и	2	2
126	не нужно	2	2
127	с их	2	2
128	на почве	2	2
129	для себя	2	2
130	дело в	2	2
131	внутренней речи	3	2
132	как в	8	2
133	входит в	2	2
134	а с	5	2
135	том что	10	2
136	и то	4	2
137	в творчестве	3	2
