N	2gram	Vygotskiy__4	Hudozhes
1	том что	22	16
2	и в	33	14
3	так и	3	13
4	а не	6	12
5	в том	21	12
6	не только	7	12
7	при этом	2	12
8	о том	20	12
9	прежде всего	2	11
10	и т	6	11
11	в этом	28	11
12	в себе	6	11
13	в рассказе	8	11
14	в своей	4	10
15	у него	6	9
16	что он	20	9
17	как и	5	9
18	то же	9	9
19	как в	3	8
20	то что	44	8
21	же время	2	8
22	т п	3	8
23	в этой	9	8
24	в то	3	8
25	в его	10	8
26	ничего не	2	8
27	казалось бы	5	7
28	это не	6	7
29	к тому	12	7
30	не в	2	7
31	как бы	25	7
32	не может	10	7
33	именно в	2	7
34	а в	4	7
35	никогда не	5	6
36	что в	21	6
37	читателя в	2	6
38	было бы	12	6
39	рассказа в	3	6
40	перед нами	6	5
41	с его	2	5
42	в частности	4	5
43	об этом	4	5
44	может быть	22	5
45	только в	4	5
46	и он	3	5
47	но и	3	5
48	жизни и	4	5
49	самом деле	12	5
50	и его	5	5
51	можно было	4	5
52	потому что	24	5
53	ни в	3	5
54	точки зрения	6	5
55	героя и	2	5
56	но в	2	5
57	связи с	2	4
58	тому что	6	4
59	в своем	7	4
60	столь же	2	4
61	та же	3	4
62	и от	2	4
63	и все	12	4
64	на то	10	4
65	можно сказать	2	4
66	и к	2	4
67	мы узнаем	4	4
68	она не	3	4
69	в действительности	2	4
70	мы уже	5	4
71	в самом	12	4
72	и о	4	4
73	в ней	6	4
74	один из	2	4
75	что она	10	4
76	себя в	4	4
77	из них	4	4
78	как раз	9	4
79	не было	3	4
80	того что	4	4
81	только что	15	4
82	он не	11	4
83	как будто	8	4
84	в русской	2	4
85	в конце	8	4
86	и это	5	4
87	с ним	5	4
88	и с	2	4
89	но не	3	3
90	если бы	10	3
91	что у	4	3
92	но он	6	3
93	с этим	5	3
94	это в	4	3
95	идет о	3	3
96	в мире	3	3
97	как мы	4	3
98	в ее	2	3
99	говорить о	3	3
100	на этом	3	3
101	что при	2	3
102	в пределах	3	3
103	несет в	3	3
104	и когда	2	3
105	о нем	4	3
106	речь идет	3	3
107	даже в	2	3
108	в нем	7	3
109	все же	5	3
110	со стороны	2	3
111	т д	2	3
112	и для	3	3
113	все эти	6	3
114	того чтобы	22	3
115	к этой	3	3
116	с точки	4	3
117	в таком	4	3
118	в своих	3	3
119	ничем не	2	3
120	тем что	3	3
121	такой же	2	3
122	и на	5	3
123	его в	3	3
124	художественного построения	2	3
125	едва ли	2	3
126	видит в	3	3
127	том как	3	3
128	как все	4	2
129	и другое	2	2
130	уже знаем	3	2
131	мысли о	2	2
132	и так	4	2
133	в одной	2	2
134	и потому	2	2
135	ясно что	5	2
136	вопрос о	2	2
137	в такой	2	2
138	по себе	9	2
139	мы знаем	2	2
140	да и	3	2
141	так что	7	2
142	с той	2	2
143	же как	3	2
144	одна из	4	2
145	и что	25	2
146	мы читаем	2	2
147	в целом	5	2
148	до конца	7	2
149	раз в	7	2
150	себе и	2	2
151	например в	3	2
152	вместо того	2	2
153	никак не	6	2
154	слова как	3	2
155	характера и	8	2
156	как он	5	2
157	сих пор	3	2
158	на него	4	2
159	в их	2	2
160	все это	13	2
161	внимание на	2	2
162	а с	2	2
163	иначе говоря	2	2
164	и не	13	2
165	на самом	6	2
166	рассказа мы	3	2
167	что не	4	2
168	не имеет	2	2
169	должно быть	3	2
170	в это	2	2
171	той же	4	2
172	с этой	4	2
173	в результате	2	2
174	с ее	3	2
175	эти слова	3	2
176	в первый	3	2
177	еще раз	3	2
178	в художественном	2	2
179	то чтобы	2	2
180	как она	10	2
181	мы не	5	2
182	до сих	3	2
