N	2gram	Ircho_Kome_1	DiskursI
1	в качестве	4	34
2	не только	10	28
3	в том	11	23
4	том что	12	19
5	может быть	9	17
6	и в	22	16
7	как и	9	16
8	в этом	3	15
9	еще не	2	14
10	но и	11	14
11	при этом	5	13
12	прежде всего	5	11
13	но не	2	11
14	и не	8	11
15	по своей	2	11
16	с другой	5	10
17	как в	5	10
18	в частности	3	9
19	в нем	4	9
20	отношению к	3	9
21	одной стороны	3	9
22	по отношению	3	9
23	не может	2	9
24	с одной	3	9
25	а также	4	8
26	так и	5	8
27	о том	8	8
28	но в	4	8
29	в его	5	7
30	со стороны	2	7
31	то же	6	7
32	в себе	2	7
33	только в	3	7
34	не в	6	7
35	и как	3	6
36	в рамках	2	5
37	к тому	6	5
38	тому же	6	5
39	в силу	2	5
40	в котором	4	5
41	то что	2	5
42	а в	6	5
43	в себя	2	5
44	в их	4	5
45	отличие от	2	5
46	и на	3	5
47	что в	6	4
48	в них	3	4
49	для себя	2	4
50	что он	6	4
51	в истории	5	4
52	в целом	3	4
53	же время	4	4
54	одной из	3	4
55	на его	5	4
56	такого рода	6	4
57	и о	3	4
58	отношение к	3	4
59	потому что	5	4
60	между тем	5	4
61	могут быть	3	4
62	как правило	3	4
63	однако в	3	3
64	того же	2	3
65	столь же	2	3
66	что и	4	3
67	времени и	2	3
68	по своему	3	3
69	в свою	2	3
70	в действительности	2	3
71	в самом	2	3
72	еще в	5	3
73	один из	5	3
74	все же	3	3
75	из них	10	3
76	ли не	4	3
77	таким образом	8	3
78	именно в	4	3
79	другой стороны	5	3
80	и даже	5	3
81	в своих	2	3
82	тем что	4	3
83	точки зрения	4	3
84	в то	10	3
85	в противоположность	2	2
86	не менее	3	2
87	и без	2	2
88	и одновременно	3	2
89	нельзя не	2	2
90	а сам	2	2
91	и во	2	2
92	и все	3	2
93	в одном	8	2
94	одного из	6	2
95	к этому	4	2
96	в году	3	2
97	в тех	3	2
98	в г	11	2
99	на этом	2	2
100	указывает на	2	2
101	в начале	3	2
102	в сущности	2	2
103	на сцене	3	2
104	в принципе	2	2
105	хотя и	3	2
106	будто бы	2	2
107	говоря уже	2	2
108	из наиболее	2	2
109	и тем	2	2
110	с ее	2	2
111	в форме	2	2
112	или менее	2	2
113	за пределы	2	2
114	уже в	5	2
115	как мы	4	2
116	х годов	3	2
117	и по	6	2
118	и его	8	2
119	или в	2	2
120	не следует	2	2
121	здесь в	3	2
122	во всяком	2	2
123	одну из	2	2
124	что касается	2	2
125	на себя	2	2
126	и ее	3	2
127	к которому	3	2
128	в другом	4	2
129	на протяжении	4	2
130	не говоря	2	2
131	же самое	2	2
132	в этой	7	2
133	уже о	2	2
134	едва ли	7	2
