N	2gram	Nazirov_Tr_1	formyVre
1	и в	18	46
2	в этом	9	22
3	прежде всего	4	14
4	в романе	10	13
5	и его	6	12
6	не только	8	11
7	в том	2	10
8	как бы	7	10
9	то есть	3	10
10	но в	6	10
11	у него	6	9
12	не в	2	9
13	но и	4	9
14	и не	7	9
15	как и	5	8
16	в его	3	8
17	то же	5	8
18	потому что	2	8
19	в основном	3	8
20	в одном	2	7
21	может быть	7	7
22	то что	4	7
23	так и	5	7
24	времени в	2	7
25	и на	7	7
26	никогда не	2	6
27	и все	4	6
28	при этом	3	6
29	еще не	4	6
30	его в	2	6
31	все же	5	6
32	все это	4	6
33	и с	7	6
34	в частности	2	5
35	в своем	3	5
36	в дальнейшем	5	5
37	в то	5	5
38	он не	2	5
39	в нем	4	5
40	что в	4	5
41	все эти	3	5
42	должно быть	3	5
43	уже в	3	4
44	отнюдь не	3	4
45	в образе	6	4
46	же время	6	4
47	с ним	3	4
48	том что	4	4
49	так что	2	4
50	в мире	3	4
51	как в	3	4
52	и он	3	4
53	в себе	4	4
54	о том	2	4
55	о чем	3	3
56	к тому	2	3
57	что он	6	3
58	и как	3	3
59	как у	2	3
60	для него	3	3
61	в это	2	3
62	что и	2	3
63	отношение к	2	3
64	уже не	2	3
65	и даже	4	3
66	жизнь и	3	3
67	тем что	2	3
68	из самых	2	2
69	не был	2	2
70	это не	5	2
71	что все	2	2
72	ее к	2	2
73	одном из	2	2
74	но эта	2	2
75	о его	2	2
76	он был	2	2
77	не мог	2	2
78	в этой	4	2
79	с тем	2	2
80	до конца	2	2
81	один из	3	2
82	и до	2	2
83	не может	5	2
84	так же	4	2
85	этого романа	2	2
86	в данном	2	2
87	но это	4	2
88	в конце	3	2
89	и это	2	2
90	и детей	2	2
91	как это	3	2
