N	2gram	Bakhtin_Fr_5	Problema
1	и в	45	30
2	в своей	3	22
3	то есть	25	21
4	то что	2	18
5	не только	14	18
6	том что	7	17
7	в этом	14	17
8	и даже	4	14
9	но и	10	13
10	таким образом	8	13
11	потому что	7	13
12	в том	10	12
13	в его	13	12
14	и не	15	12
15	а именно	2	12
16	также и	7	12
17	о том	4	12
18	в своем	11	11
19	у него	4	11
20	точки зрения	4	10
21	в этой	6	10
22	все же	2	9
23	сказать что	4	9
24	но в	14	9
25	и вообще	2	9
26	только в	4	9
27	и все	7	9
28	в конце	7	8
29	вовсе не	8	8
30	хотя и	5	8
31	с точки	2	8
32	что он	6	7
33	как и	10	7
34	связи с	6	7
35	но не	4	7
36	может быть	2	7
37	вместе с	3	7
38	так и	6	7
39	до нас	3	7
40	в связи	5	7
41	мы находим	4	7
42	не в	7	7
43	здесь не	6	7
44	прежде всего	10	6
45	можно сказать	2	6
46	и как	5	6
47	несмотря на	2	6
48	и для	3	6
49	как бы	12	6
50	в нем	10	6
51	что и	7	6
52	тут же	2	6
53	и что	2	6
54	а в	4	6
55	и его	13	6
56	и на	5	6
57	его в	5	6
58	так как	6	6
59	не менее	3	5
60	нисколько не	3	5
61	с тем	2	5
62	что в	12	5
63	так же	8	5
64	в самом	4	5
65	и их	5	5
66	и о	4	5
67	еще в	2	5
68	не может	5	5
69	в году	3	5
70	а не	4	5
71	и у	5	5
72	и притом	2	5
73	но он	3	5
74	он и	3	5
75	как раз	5	5
76	и с	10	5
77	мы можем	2	5
78	еще и	3	4
79	жизни в	2	4
80	ни в	3	4
81	об этом	4	4
82	при этом	2	4
83	того же	3	4
84	было бы	2	4
85	в качестве	2	4
86	в период	2	4
87	свободы и	2	4
88	и к	5	4
89	не мог	4	4
90	и он	3	4
91	нас в	2	4
92	под названием	2	4
93	в то	11	4
94	в самой	8	3
95	для них	2	3
96	именно в	3	3
97	и другие	3	3
98	в отношении	2	3
99	в духе	2	3
100	в начале	2	3
101	то время	3	3
102	для того	6	3
103	он не	6	3
104	а также	4	3
105	того что	3	3
106	в эпоху	7	3
107	к нему	2	3
108	жизнь и	2	3
109	от этого	2	3
110	в ней	8	3
111	он в	2	3
112	в другом	3	3
113	с ним	5	3
114	в одном	3	3
115	только для	2	2
116	поэтому и	3	2
117	не могут	2	2
118	находим в	3	2
119	на небе	3	2
120	уже и	2	2
121	и без	2	2
122	в них	6	2
123	том числе	4	2
124	хотя бы	2	2
125	как в	3	2
126	это не	3	2
127	один из	2	2
128	к этому	2	2
129	значение и	2	2
130	здесь в	4	2
131	к тому	2	2
132	то же	11	2
133	и наиболее	2	2
134	как мы	8	2
135	он был	7	2
136	раз в	2	2
137	по существу	3	2
138	него не	2	2
139	кроме того	4	2
140	до сих	3	2
141	со всеми	5	2
142	по поводу	4	2
143	жизни и	8	2
144	в данном	2	2
145	конечно не	2	2
146	в заключение	3	2
147	ли он	2	2
148	в первой	4	2
149	когда он	2	2
150	и за	2	2
151	на него	2	2
152	и до	2	2
153	данном случае	2	2
154	и только	2	2
155	он хочет	2	2
156	в атмосфере	6	2
157	все эти	5	2
158	с помощью	3	2
159	мы не	4	2
160	всякого рода	2	2
161	здесь как	4	2
162	самом деле	5	2
163	в значительной	2	2
164	того чтобы	6	2
165	его не	4	2
166	можно было	4	2
167	за все	2	2
168	больше чем	2	2
169	между тем	2	2
170	в одной	3	2
171	здесь изображается	2	2
172	это время	2	2
173	дело в	3	2
174	есть в	3	2
175	мира и	8	2
176	в чем	2	2
177	страха и	5	2
178	ничего не	4	2
179	духа в	2	2
180	сих пор	3	2
