N	2gram	Tiupa_Narr_1	VrazhdaK
1	не только	32	9
2	в этом	17	8
3	и в	19	8
4	но и	23	7
5	что в	3	7
6	то что	11	7
7	и все	2	7
8	в нем	4	6
9	все же	7	6
10	и даже	3	6
11	как и	7	6
12	но в	6	6
13	и с	4	6
14	о нем	4	6
15	то же	4	5
16	не было	2	5
17	и не	20	5
18	у него	4	5
19	между тем	3	5
20	в то	3	5
21	же время	4	5
22	уже в	3	4
23	как бы	4	4
24	это не	2	4
25	что он	6	4
26	так же	2	4
27	может быть	25	4
28	при этом	9	4
29	несмотря на	2	4
30	о том	6	4
31	в ней	3	4
32	речь идет	4	3
33	с его	6	3
34	связи с	4	3
35	в своем	2	3
36	что у	2	3
37	в связи	2	3
38	матери и	4	3
39	человека в	2	3
40	в том	18	3
41	и его	5	3
42	том что	14	3
43	и как	5	3
44	тем что	3	3
45	в его	9	3
46	далеко не	5	3
47	его в	2	3
48	наряду с	2	3
49	одним из	2	3
50	он не	3	3
51	и т.п	8	2
52	после смерти	2	2
53	а с	3	2
54	он сам	2	2
55	в известном	2	2
56	из них	3	2
57	не менее	3	2
58	никогда не	3	2
59	отнюдь не	5	2
60	столь же	3	2
61	как раз	2	2
62	не может	10	2
63	а в	11	2
64	тогда как	12	2
65	отношения к	2	2
66	в той	6	2
67	уже не	5	2
68	к себе	5	2
69	на первый	2	2
70	не мог	4	2
71	и он	3	2
72	же не	4	2
73	с точки	2	2
74	же в	4	2
75	тем более	2	2
76	в этой	5	2
77	же как	3	2
78	за границей	4	2
79	но как	2	2
80	точки зрения	10	2
81	в свою	3	2
82	и ее	2	2
83	в себе	8	2
84	отношение к	2	2
85	для него	2	2
86	еще не	7	2
87	о чем	2	2
88	в мире	9	2
89	одна из	3	2
90	а также	7	2
