N	2gram	Tiupa_Narr_1	Psycholo
1	то что	11	37
2	и в	19	30
3	в том	18	27
4	что в	3	24
5	том что	14	21
6	как бы	4	19
7	что он	6	17
8	не только	32	16
9	в этом	17	14
10	так же	2	13
11	как раз	2	13
12	то есть	19	13
13	одной стороны	7	12
14	в сущности	3	12
15	с одной	7	12
16	может быть	25	11
17	что мы	2	11
18	о том	6	10
19	никогда не	3	9
20	с другой	8	9
21	и когда	2	9
22	не может	10	9
23	сказать что	4	9
24	что это	3	8
25	мы имеем	2	8
26	к тому	7	8
27	не в	14	8
28	а не	12	8
29	при этом	9	8
30	самом деле	2	8
31	могут быть	3	8
32	по себе	5	7
33	в нем	4	7
34	и как	5	7
35	но не	5	7
36	все же	7	7
37	то же	4	7
38	точки зрения	10	7
39	героя и	4	7
40	как это	6	7
41	в основе	5	7
42	уже в	3	6
43	в своем	2	6
44	именно в	6	6
45	как и	7	6
46	совершенно не	2	6
47	и тем	4	6
48	и для	2	6
49	но и	23	6
50	и не	20	6
51	жизни и	3	6
52	и его	5	6
53	или в	2	6
54	тем что	3	6
55	как будто	3	6
56	когда мы	2	6
57	дело с	2	5
58	совершенно очевидно	2	5
59	что именно	2	5
60	несмотря на	2	5
61	как мы	3	5
62	и потому	2	5
63	в этой	5	5
64	что они	3	5
65	еще не	7	5
66	было бы	4	5
67	когда он	3	5
68	один из	3	5
69	другой стороны	4	5
70	а с	3	5
71	сводится к	3	5
72	в двух	2	5
73	в себе	8	5
74	но в	6	5
75	только в	4	5
76	в результате	2	4
77	в частности	14	4
78	и все	2	4
79	прежде всего	4	4
80	говорит о	2	4
81	именно это	2	4
82	в ней	3	4
83	в его	9	4
84	не есть	3	4
85	как говорит	3	4
86	а в	11	4
87	из которых	4	4
88	как ни	2	4
89	о чем	2	4
90	не существует	3	3
91	у него	4	3
92	что у	2	3
93	хотя бы	4	3
94	это не	2	3
95	не как	2	3
96	из этих	3	3
97	состоит в	13	3
98	что на	2	3
99	одна из	3	3
100	в свою	3	3
101	для него	2	3
102	имеет место	4	3
103	он не	3	3
104	из двух	3	3
105	в ее	3	3
106	ни в	3	3
107	события в	2	3
108	данном случае	4	3
109	так и	9	3
110	со стороны	9	3
111	как в	7	3
112	и только	2	3
113	времени и	7	3
114	этом отношении	3	3
115	и сейчас	2	3
116	в той	6	3
117	героя в	8	3
118	в таком	2	3
119	можно было	2	3
120	человека в	2	3
121	в силу	4	3
122	и на	3	3
123	в данном	5	3
124	перед нами	4	2
125	с его	6	2
126	же как	3	2
127	связи с	4	2
128	действующее лицо	2	2
129	себя и	2	2
130	между собой	2	2
131	не является	8	2
132	в противоположность	2	2
133	или иной	5	2
134	не что	2	2
135	можно сказать	5	2
136	на первый	2	2
137	же в	4	2
138	по существу	2	2
139	но все	4	2
140	во внешнем	2	2
141	должна быть	2	2
142	что по	2	2
143	к другому	2	2
144	на том	3	2
145	той или	4	2
146	в качестве	21	2
147	со словами	2	2
148	мог бы	3	2
149	себе не	2	2
150	сами по	2	2
151	не с	3	2
152	иное как	2	2
153	из них	3	2
154	представляют собой	2	2
155	и до	2	2
156	отношения к	2	2
157	в форме	5	2
158	к самому	2	2
159	отличается от	4	2
160	по отношению	7	2
161	в отличие	5	2
162	это и	3	2
163	в себя	6	2
164	приводит к	2	2
165	с точки	2	2
166	и даже	3	2
167	и он	3	2
168	между ними	2	2
169	отличие от	5	2
170	ничего не	2	2
171	от одного	2	2
172	и с	4	2
173	что касается	2	2
174	что иное	2	2
175	исходя из	2	2
176	в то	3	2
177	все то	2	2
178	событий в	2	2
179	в рассказе	4	2
180	все эти	2	2
181	только о	2	2
182	же не	4	2
