N	2gram	Losev_Prob_1	Stilisti
1	и в	32	42
2	как бы	14	27
3	не только	17	27
4	прежде всего	10	22
5	хотя бы	3	17
6	но и	9	15
7	то же	10	15
8	и не	31	14
9	может быть	14	12
10	не может	8	12
11	точки зрения	3	11
12	как и	3	11
13	мы уже	5	11
14	и как	6	10
15	что мы	13	10
16	мы должны	5	10
17	отнюдь не	10	10
18	как мы	7	10
19	в этом	19	10
20	при этом	6	9
21	в то	6	9
22	то что	42	9
23	для того	8	9
24	мы не	2	9
25	таким образом	6	8
26	с тем	5	8
27	что же	9	8
28	тем самым	4	8
29	в себе	15	8
30	и это	9	8
31	никогда не	7	7
32	и тем	13	7
33	и на	8	7
34	потому что	16	7
35	так как	11	7
36	с его	2	7
37	было бы	8	7
38	а не	15	7
39	того чтобы	9	7
40	и его	3	7
41	мы можем	4	7
42	только в	7	7
43	в которой	2	7
44	ничего не	10	7
45	другими словами	3	6
46	или иной	5	6
47	мы будем	2	6
48	не в	4	6
49	в этой	10	6
50	на его	2	6
51	но ведь	3	6
52	в конце	6	6
53	когда мы	8	6
54	и так	2	6
55	в нем	13	6
56	во всех	7	6
57	так и	12	6
58	или как	3	6
59	в области	2	6
60	уже в	3	5
61	тому что	4	5
62	и следовательно	3	5
63	и является	7	5
64	не является	5	5
65	а в	4	5
66	и с	2	5
67	же самое	9	5
68	того или	2	5
69	как это	6	5
70	в сознании	5	5
71	же мы	2	5
72	или иного	2	5
73	мы никогда	3	5
74	в его	6	5
75	вместе с	2	5
76	с точки	3	5
77	все время	2	4
78	что это	3	4
79	само собой	2	4
80	мы называем	2	4
81	не просто	23	4
82	можно сказать	5	4
83	к тому	3	4
84	но все	3	4
85	в качестве	2	4
86	в самом	6	4
87	той или	5	4
88	один из	4	4
89	все это	7	4
90	того что	7	4
91	так же	9	4
92	о том	11	4
93	его в	6	4
94	но в	14	4
95	не существует	6	4
96	если бы	4	4
97	не что	2	4
98	у нас	14	4
99	мы видим	2	4
100	мы увидим	3	4
101	если мы	11	4
102	уже не	3	4
103	самом деле	6	4
104	и пр	4	4
105	можно было	3	4
106	и то	6	4
107	то есть	33	4
108	вопроса о	2	4
109	перед нами	5	3
110	это не	6	3
111	этом случае	2	3
112	для нас	5	3
113	но что	2	3
114	но для	3	3
115	хотя и	6	3
116	в котором	5	3
117	и уже	3	3
118	из них	3	3
119	что оно	3	3
120	и даже	11	3
121	их в	4	3
122	сказать что	13	3
123	и здесь	6	3
124	необходимо чтобы	3	3
125	ни на	4	3
126	в виду	6	3
127	бы мы	3	3
128	то он	2	3
129	и все	7	3
130	об этом	10	3
131	в ее	3	3
132	том что	12	3
133	еще не	9	3
134	о своем	2	3
135	мы в	3	3
136	тех или	3	3
137	нет и	2	3
138	не будет	2	3
139	да и	3	3
140	только на	4	3
141	на самом	6	3
142	если не	4	3
143	что такое	6	3
144	и для	4	3
145	то или	2	3
146	конце концов	4	3
147	связи с	5	3
148	друг другу	2	2
149	объективной действительности	3	2
150	иное как	2	2
151	не нужно	3	2
152	в том	9	2
153	нас не	2	2
154	но это	8	2
155	бы нам	2	2
156	для него	2	2
157	несмотря на	3	2
158	и все-таки	2	2
159	в него	2	2
160	в этих	3	2
161	не говоря	4	2
162	всякое выражение	4	2
163	в нас	2	2
164	в связи	4	2
165	в отношении	3	2
166	не было	4	2
167	еще и	5	2
168	все эти	8	2
169	ведь если	2	2
170	который мы	2	2
171	должно быть	2	2
172	в которых	3	2
173	также и	11	2
174	даже и	8	2
175	что иное	2	2
176	нет ничего	10	2
177	и ни	4	2
178	мы имеем	2	2
179	серп и	4	2
180	я и	2	2
181	в жизни	3	2
182	нашего исследования	2	2
183	для них	2	2
184	однако в	2	2
185	с этим	3	2
186	с собой	2	2
187	ясно что	3	2
188	или иных	2	2
189	что он	7	2
190	есть не	6	2
191	на первый	2	2
192	самое время	4	2
193	только потому	3	2
194	и при	2	2
195	но не	9	2
196	по своему	9	2
197	мы говорили	4	2
198	которые являются	2	2
199	помнить что	3	2
200	и потому	2	2
201	гораздо более	2	2
202	не есть	29	2
203	в своей	8	2
204	сих пор	3	2
205	как в	4	2
206	как нечто	8	2
207	здесь не	7	2
208	перейти к	4	2
209	к нему	3	2
210	в дальнейшем	4	2
211	и эту	2	2
212	с ним	3	2
213	или в	4	2
214	тем что	7	2
215	в каком	3	2
216	тем и	2	2
217	и вообще	4	2
218	которые в	2	2
219	на возможность	2	2
