N	2gram	Vygotskiy__5	Dialekti
1	не есть	4	54
2	и не	12	27
3	а не	10	26
4	точки зрения	18	25
5	это значит	5	24
6	и в	16	24
7	значит что	5	24
8	не только	16	23
9	по себе	7	20
10	не может	18	19
11	ничего не	5	17
12	и есть	7	16
13	и что	12	15
14	что все	6	14
15	то что	26	14
16	с точки	9	14
17	может быть	9	13
18	таким образом	19	13
19	и даже	2	13
20	что он	25	13
21	вовсе не	2	13
22	того что	16	12
23	не менее	3	11
24	не имеет	4	11
25	только не	3	10
26	в сущности	13	10
27	то это	2	9
28	но и	6	9
29	что она	2	9
30	есть не	2	9
31	учение о	2	8
32	прежде всего	3	8
33	так что	4	8
34	и как	3	8
35	это есть	4	8
36	что мы	4	8
37	том что	15	8
38	в этом	25	8
39	что в	16	7
40	никогда не	5	7
41	но что	3	7
42	в самом	4	7
43	что оно	6	7
44	потому что	21	7
45	в виду	2	7
46	это и	3	7
47	как и	8	7
48	только на	2	7
49	я не	2	6
50	должна быть	5	6
51	но если	6	6
52	все это	2	6
53	и с	3	6
54	о том	8	6
55	так как	16	6
56	если бы	8	6
57	что и	3	6
58	не на	3	6
59	то же	8	6
60	самом деле	3	6
61	с этой	4	5
62	в том	18	5
63	но это	3	5
64	точка зрения	8	5
65	жизни и	2	5
66	и его	3	5
67	как на	3	5
68	что для	2	5
69	или не	2	5
70	в то	5	5
71	как это	8	5
72	само по	2	5
73	в них	2	5
74	вопрос о	12	5
75	тогда когда	5	5
76	и к	2	5
77	было бы	10	5
78	он не	8	5
79	так и	7	5
80	мы не	3	5
81	от всякого	2	5
82	только в	10	5
83	тому что	5	4
84	с другой	4	4
85	это не	4	4
86	не могут	4	4
87	то время	4	4
88	сама по	4	4
89	к тому	6	4
90	хотя бы	5	4
91	но только	2	4
92	так же	15	4
93	время как	4	4
94	сказать что	13	4
95	сознания и	2	4
96	у нас	2	4
97	говорить о	3	4
98	в истории	2	4
99	это будет	2	4
100	говорит о	3	4
101	от того	3	4
102	только что	5	4
103	в чем	3	4
104	тому как	4	4
105	и то	4	4
106	мы и	5	4
107	подобно тому	4	4
108	для него	5	4
109	все же	3	3
110	вопрос об	3	3
111	за пределы	4	3
112	в своем	5	3
113	может ли	2	3
114	и от	2	3
115	мы знаем	3	3
116	не в	6	3
117	не говорит	2	3
118	одной стороны	3	3
119	в основе	8	3
120	тем более	4	3
121	в нем	7	3
122	из них	2	3
123	то и	2	3
124	с одной	3	3
125	все эти	4	3
126	должно быть	8	3
127	и на	6	3
128	мере в	5	3
129	с этим	3	3
130	во всем	2	3
131	ни на	2	3
132	одинаковой мере	2	3
133	тем что	5	3
134	он должен	5	3
135	сознание и	2	3
136	в силу	10	3
137	зависимости от	2	3
138	все что	2	3
139	как бы	5	3
140	тем самым	8	3
141	для того	14	3
142	из которых	3	3
143	должны быть	2	3
144	к нему	3	3
145	той же	4	3
146	не знает	5	3
147	зависит от	4	2
148	же как	7	2
149	что если	4	2
150	в одинаковой	2	2
151	в частности	3	2
152	что у	2	2
153	вообще не	4	2
154	этой точки	4	2
155	показывает что	5	2
156	из того	11	2
157	в смысле	3	2
158	тому же	2	2
159	на этом	3	2
160	еще не	4	2
161	по одному	4	2
162	при этом	4	2
163	нас к	3	2
164	и следовательно	6	2
165	и является	3	2
166	себя и	2	2
167	совершенно не	2	2
168	и тем	3	2
169	исходит из	2	2
170	то как	3	2
171	не имеют	2	2
172	уже по	4	2
173	другой стороны	2	2
174	мы говорим	2	2
175	еще и	3	2
176	именно в	4	2
177	сознания в	3	2
178	понятия и	2	2
179	они не	3	2
180	и по	4	2
181	а в	3	2
182	в своих	2	2
183	в мысли	6	2
184	никак не	3	2
185	их в	2	2
186	в ней	2	2
187	и здесь	2	2
188	в первом	3	2
189	и потому	2	2
190	бы в	4	2
191	к этой	3	2
192	но в	6	2
193	же мы	2	2
194	но они	2	2
195	своего собственного	2	2
196	у него	6	2
197	в зависимости	2	2
198	из нее	5	2
199	содержится в	3	2
200	в их	3	2
201	и эти	2	2
202	же в	2	2
203	но как	3	2
204	по существу	3	2
205	то в	3	2
206	в вопросе	2	2
207	но не	10	2
208	со всеми	2	2
209	никто не	2	2
210	во внимание	2	2
211	только к	2	2
212	ее в	3	2
213	на основании	2	2
214	как я	3	2
215	все равно	2	2
216	как мы	10	2
217	ничто не	2	2
218	во всяком	2	2
219	могут быть	4	2
220	как с	3	2
221	и логической	2	2
222	его на	2	2
223	из этого	2	2
224	же самый	2	2
225	учения о	2	2
226	в его	11	2
227	этом вопросе	2	2
