N	2gram	Losev_Vlad_1	Sovremen
1	не может	6	17
2	точки зрения	2	12
3	может быть	6	12
4	таким образом	3	11
5	в этом	14	7
6	и в	31	7
7	и не	17	6
8	как и	4	6
9	в результате	2	6
10	ничего не	3	6
11	что же	5	5
12	все эти	3	5
13	нет и	2	4
14	в целом	3	4
15	жизни и	5	4
16	вместе с	3	4
17	а в	9	4
18	не только	24	4
19	в том	11	4
20	в дальнейшем	8	4
21	из них	2	4
22	мы должны	2	4
23	так как	8	4
24	уже в	7	3
25	но мы	2	3
26	все же	3	3
27	отнюдь не	3	3
28	все это	5	3
29	в конце	9	3
30	то же	6	3
31	ясно что	2	3
32	в нем	4	3
33	и к	6	3
34	для нас	4	3
35	у нас	6	3
36	не в	5	3
37	в этой	4	3
38	еще не	2	3
39	он в	3	3
40	при этом	2	3
41	было бы	2	3
42	и мы	2	3
43	и все	4	3
44	как он	4	3
45	в себе	4	3
46	что она	2	3
47	но в	12	3
48	и потому	6	3
49	совершенно не	2	2
50	не менее	2	2
51	в виде	3	2
52	для его	2	2
53	у него	15	2
54	не будем	2	2
55	в нашем	4	2
56	то и	2	2
57	из этих	2	2
58	что все	2	2
59	как мы	9	2
60	уже не	3	2
61	и что	6	2
62	что такое	2	2
63	на этот	6	2
64	и даже	15	2
65	и по	8	2
66	тем не	2	2
67	мы знаем	2	2
68	той же	2	2
69	во всяком	2	2
70	на этом	2	2
71	знаем что	2	2
72	что в	14	2
73	тот же	3	2
74	которой он	5	2
75	некоторое время	2	2
76	на его	3	2
77	такого рода	4	2
78	в самом	2	2
79	в которой	4	2
80	в науке	3	2
81	в его	12	2
82	в которую	2	2
83	всяком случае	2	2
