N	2gram	Nazirov_Vr_1	Literetu
1	не только	9	24
2	при этом	4	19
3	но и	7	17
4	в том	3	16
5	том что	3	14
6	может быть	4	13
7	тогда как	2	13
8	в году	18	13
9	и не	5	12
10	в этом	8	12
11	в своем	3	11
12	то что	7	10
13	в русской	3	10
14	и в	8	8
15	не менее	2	7
16	я не	3	7
17	в его	3	7
18	как бы	4	7
19	уже не	2	7
20	в себе	2	7
21	как и	6	6
22	связи с	3	6
23	точки зрения	2	6
24	с его	3	5
25	что он	4	5
26	же в	2	5
27	же время	5	5
28	а также	2	5
29	русской литературе	3	5
30	не может	2	5
31	то же	5	5
32	уже в	4	5
33	одним из	3	5
34	в то	5	5
35	столь же	2	4
36	это не	4	4
37	о себе	3	4
38	в конце	3	4
39	еще не	2	4
40	все же	6	4
41	из них	2	4
42	в своей	2	4
43	и т.п	2	4
44	никогда не	2	4
45	в связи	3	4
46	и его	3	4
47	как раз	2	4
48	в своих	4	4
49	в этой	2	4
50	не было	5	3
51	что в	7	3
52	одна из	2	3
53	несмотря на	4	3
54	не мог	2	3
55	у него	5	3
56	том же	2	3
57	а в	2	3
58	таким образом	2	3
59	и даже	6	3
60	к себе	2	3
61	но в	6	3
62	далеко не	3	3
63	его в	3	3
64	в виду	4	3
65	отнюдь не	2	2
66	у достоевского	4	2
67	в мире	2	2
68	х годов	4	2
69	в нашей	2	2
70	что я	2	2
71	для него	2	2
72	в нем	6	2
73	с точки	2	2
74	и то	2	2
75	между тем	5	2
76	тем более	2	2
77	тем что	3	2
78	на это	2	2
79	о том	4	2
80	в россии	5	2
81	от сознания	2	2
82	нашего времени	2	2
