N	2gram	Losev_Prob_2	Stilisti
1	и в	35	42
2	как бы	4	27
3	не только	24	27
4	прежде всего	11	22
5	хотя бы	12	17
6	но и	16	15
7	то же	5	15
8	и не	37	14
9	может быть	18	12
10	не может	13	12
11	точки зрения	2	11
12	как и	5	11
13	мы уже	3	11
14	и как	4	10
15	что мы	14	10
16	мы должны	3	10
17	отнюдь не	5	10
18	как мы	5	10
19	в этом	17	10
20	при этом	3	9
21	в то	6	9
22	то что	38	9
23	для того	3	9
24	мы не	7	9
25	все же	8	8
26	в ней	2	8
27	таким образом	4	8
28	с тем	3	8
29	что же	9	8
30	тем самым	7	8
31	в себе	5	8
32	и это	5	8
33	зависимости от	2	7
34	и от	3	7
35	и тем	4	7
36	и на	5	7
37	потому что	13	7
38	так как	7	7
39	в зависимости	2	7
40	было бы	8	7
41	а не	10	7
42	того чтобы	2	7
43	мы можем	6	7
44	только в	14	7
45	ничего не	10	7
46	другими словами	6	6
47	или иной	5	6
48	не в	2	6
49	в этой	9	6
50	язык и	2	6
51	но ведь	3	6
52	в конце	7	6
53	когда мы	6	6
54	во всех	2	6
55	так и	7	6
56	или как	2	6
57	в области	6	6
58	уже в	3	5
59	независимо от	2	5
60	в нашем	3	5
61	тому что	3	5
62	и той	4	5
63	и следовательно	4	5
64	и является	3	5
65	не является	7	5
66	и их	3	5
67	а в	4	5
68	и с	10	5
69	и наконец	3	5
70	же самое	6	5
71	того или	7	5
72	же мы	2	5
73	или иного	5	5
74	в его	7	5
75	вместе с	2	5
76	в той	2	5
77	той же	2	5
78	слова и	4	5
79	самого начала	2	4
80	и без	5	4
81	не просто	11	4
82	можно сказать	6	4
83	к тому	3	4
84	с самого	3	4
85	но все	2	4
86	в качестве	2	4
87	в самом	5	4
88	той или	5	4
89	один из	3	4
90	все это	4	4
91	языка и	5	4
92	того что	12	4
93	так же	5	4
94	о том	18	4
95	его в	3	4
96	бы в	3	4
97	но в	6	4
98	не существует	6	4
99	если бы	4	4
100	были бы	2	4
101	не что	3	4
102	и к	3	4
103	у нас	18	4
104	не знаем	3	4
105	на него	2	4
106	если мы	9	4
107	уже не	8	4
108	самом деле	4	4
109	в слове	3	4
110	можно было	5	4
111	и то	10	4
112	то есть	39	4
113	на это	2	4
114	как только	3	3
115	или иное	2	3
116	язык не	2	3
117	перед нами	2	3
118	этом случае	7	3
119	человеческой речи	4	3
120	как таковой	4	3
121	для нас	9	3
122	здесь мы	3	3
123	и само	2	3
124	хотя и	3	3
125	что всякое	2	3
126	представить себе	4	3
127	в целом	3	3
128	что оно	2	3
129	лишь в	3	3
130	и даже	11	3
131	не так	2	3
132	их в	4	3
133	сказать что	24	3
134	и здесь	4	3
135	но вот	2	3
136	в виду	8	3
137	бы мы	2	3
138	и все	5	3
139	но при	2	3
140	об этом	2	3
141	том что	19	3
142	в тех	2	3
143	еще не	10	3
144	о своем	2	3
145	мы в	3	3
146	конечно не	2	3
147	тех или	3	3
148	мы ни	2	3
149	нет и	3	3
150	что и	2	3
151	не будет	11	3
152	да и	10	3
153	только на	9	3
154	слова как	3	3
155	на самом	4	3
156	если не	4	3
157	слово и	2	3
158	что такое	18	3
159	и для	6	3
160	то или	3	3
161	роль в	2	3
162	конце концов	7	3
163	связи с	5	3
164	не знает	3	3
165	и поэтому	2	3
166	в голову	2	2
167	бы и	7	2
168	в частности	5	2
169	но даже	3	2
170	или даже	3	2
171	иное как	3	2
172	вопрос о	3	2
173	не нужно	3	2
174	в том	12	2
175	и конечно	2	2
176	нас не	3	2
177	только одним	2	2
178	тот или	5	2
179	но это	6	2
180	значением слова	3	2
181	и сам	2	2
182	несмотря на	3	2
183	и все-таки	3	2
184	в него	2	2
185	себе и	2	2
186	но мы	3	2
187	внутри себя	2	2
188	в этих	4	2
189	общения людей	3	2
190	не говоря	4	2
191	о них	2	2
192	для всякого	2	2
193	в связи	5	2
194	в отношении	4	2
195	не было	3	2
196	еще и	5	2
197	все эти	7	2
198	но эта	3	2
199	ведь если	4	2
200	должно быть	2	2
201	нам в	2	2
202	каждый из	2	2
203	в своих	3	2
204	также и	12	2
205	даже и	18	2
206	что иное	3	2
207	для каждого	4	2
208	нет ничего	2	2
209	будет иметь	3	2
210	и ни	3	2
211	в основе	3	2
212	или хотя	2	2
213	нашего исследования	3	2
214	для них	3	2
215	в какой-то	2	2
216	для всех	2	2
217	между собой	5	2
218	от чего	2	2
219	чего же	2	2
220	с этим	5	2
221	себе в	2	2
222	ясно что	8	2
223	значение и	8	2
224	человек не	2	2
225	что он	4	2
226	есть не	6	2
227	на первый	4	2
228	при условии	6	2
229	ли он	3	2
230	только тогда	3	2
231	самое время	4	2
232	и при	2	2
233	представляет собой	2	2
234	словесный знак	2	2
235	но не	4	2
236	по своему	5	2
237	нашего сознания	2	2
238	которая и	2	2
239	тот же	4	2
240	точном смысле	2	2
241	оно является	2	2
242	и этот	3	2
243	гораздо более	4	2
244	не есть	33	2
245	же такое	4	2
246	войти в	2	2
247	сих пор	4	2
248	как нечто	2	2
249	здесь не	2	2
250	бы не	3	2
251	знак и	21	2
252	должны были	3	2
253	из трех	2	2
254	одной и	2	2
255	допустим что	2	2
256	в значительной	3	2
257	мы конечно	2	2
258	из которых	2	2
259	существует и	4	2
260	к нему	2	2
261	или в	2	2
262	в языке	15	2
263	тем что	4	2
264	в каком	4	2
265	и вообще	16	2
266	другое как	2	2
267	которые в	2	2
