N	3gram	Bakhtin_fo_1	Marksizm
1	с точки зрения	2	20
2	не может быть	3	13
3	до сих пор	3	8
4	в связи с	5	7
5	и того же	5	5
6	одного и того	5	5
7	в отличие от	2	5
8	с самого начала	2	4
9	связи с этим	2	3
10	в ее целом	2	3
11	может быть и	2	3
12	в то же	6	3
13	то же время	9	3
14	вполне понятно что	4	3
15	в этом отношении	3	3
16	в том что	2	3
17	но все же	2	3
18	для того чтобы	5	3
19	в том числе	4	2
20	том числе и	2	2
21	так же как	2	2
22	в нем нет	2	2
23	же как и	2	2
24	между этими двумя	3	2
25	как если бы	2	2
26	и прежде всего	2	2
27	по отношению к	3	2
