N	2gram	Berdyaev_M_2	StatiiOP
1	и в	46	44
2	в том	3	36
3	что в	4	30
4	том что	4	29
5	в этом	20	21
6	то что	5	18
7	не только	18	18
8	а в	2	17
9	о том	3	17
10	и не	18	16
11	а не	13	16
12	т е	4	15
13	может быть	21	15
14	как в	7	13
15	можно было	2	13
16	не в	9	12
17	у нас	11	11
18	в этой	7	11
19	того чтобы	4	11
20	точки зрения	2	11
21	для того	5	10
22	что он	7	10
23	но и	15	10
24	но в	10	10
25	только в	3	10
26	в отношении	5	9
27	если бы	3	9
28	как и	13	9
29	того что	6	9
30	также и	4	9
31	так и	4	9
32	в его	5	9
33	во всех	2	8
34	не может	15	8
35	и его	5	8
36	это не	5	8
37	я не	5	7
38	прежде всего	12	7
39	в самом	5	7
40	сих пор	3	7
41	до сих	3	7
42	сказать что	3	7
43	что они	3	7
44	потому что	12	6
45	так что	2	6
46	но это	8	6
47	для него	18	6
48	что и	4	6
49	в своей	5	6
50	что же	2	6
51	хотя бы	7	6
52	никогда не	18	5
53	так же	6	5
54	в нем	22	5
55	жизни и	6	5
56	той же	3	5
57	то же	5	5
58	тем что	3	5
59	так как	8	5
60	что это	6	4
61	можно ли	3	4
62	что она	5	4
63	вопрос о	6	4
64	бы и	5	4
65	это и	3	4
66	и что	2	4
67	же и	2	4
68	как бы	8	4
69	в россии	3	4
70	не было	11	4
71	еще более	2	4
72	что у	4	4
73	не имеет	4	4
74	как будто	2	4
75	в которой	2	4
76	к которому	3	4
77	в основе	2	3
78	не существует	3	3
79	тому что	4	3
80	и с	3	3
81	в конце	5	3
82	в каждом	3	3
83	ни в	3	3
84	он был	9	3
85	да и	2	3
86	то в	2	3
87	же как	3	3
88	чем в	2	3
89	что не	2	3
90	и для	7	3
91	в ней	11	3
92	должен быть	4	3
93	отношению к	2	3
94	и за	2	3
95	по отношению	2	3
96	но с	2	3
97	лишь в	2	3
98	говорит что	2	3
99	должны быть	4	3
100	в чем	3	3
101	как к	2	3
102	вопроса о	4	3
103	между тем	2	3
104	что все	5	2
105	уже в	2	2
106	совсем не	5	2
107	бы не	2	2
108	но на	2	2
109	и можно	3	2
110	в этих	2	2
111	в своем	8	2
112	превращается в	2	2
113	и во	3	2
114	не всегда	2	2
115	в такой	3	2
116	тут не	2	2
117	есть в	3	2
118	быть и	2	2
119	свои силы	2	2
120	чем у	4	2
121	она не	8	2
122	и перед	3	2
123	этого вопроса	2	2
124	в сущности	2	2
125	но для	2	2
126	и потому	7	2
127	что нет	3	2
128	отношение к	8	2
129	такого рода	2	2
130	которые в	2	2
131	было не	2	2
132	отношения к	2	2
133	и тогда	3	2
134	для этого	4	2
135	не для	3	2
136	более чем	2	2
137	ни одного	2	2
138	и те	2	2
139	ничего не	2	2
140	не знает	9	2
141	в своих	3	2
142	думать что	4	2
143	не надо	2	2
144	от этого	2	2
145	у него	22	2
146	он не	10	2
147	но он	11	2
148	в себе	10	2
149	нет ни	2	2
150	по своей	3	2
151	и все	5	2
152	его в	3	2
153	и это	5	2
154	к нему	2	2
155	только с	3	2
156	е в	2	2
