N	2gram	Medvedev_U_1	Mirosoze
1	и в	14	46
2	может быть	6	21
3	в этом	7	20
4	для него	3	18
5	и не	8	18
6	не только	10	18
7	но и	4	15
8	не может	7	15
9	как и	3	13
10	не есть	2	13
11	а не	10	13
12	прежде всего	8	12
13	у нас	3	11
14	но в	3	10
15	в себе	2	10
16	не в	2	9
17	но это	2	8
18	в этой	4	7
19	что он	2	7
20	хотя бы	5	7
21	и для	2	7
22	то же	5	5
23	бы и	2	5
24	что все	2	5
25	в самом	2	5
26	что она	2	5
27	это не	3	5
28	в конце	2	5
29	то что	7	5
30	в своей	3	5
31	в его	2	5
32	для этого	3	4
33	с его	2	4
34	том что	2	4
35	что и	2	4
36	вопроса о	2	4
37	в том	2	3
38	и с	2	3
39	в россии	4	3
40	если бы	2	3
41	до сих	2	3
42	сих пор	2	3
43	тем что	2	3
44	только в	2	3
45	не о	3	2
46	не случайно	2	2
47	между тем	2	2
48	превращается в	2	2
49	по себе	2	2
50	более чем	2	2
51	вот почему	7	2
52	нас в	2	2
53	ничего не	2	2
