N	2gram	Propp_Morf_1	formyVre
1	и в	13	46
2	в этом	14	22
3	прежде всего	9	14
4	и т	41	14
5	вовсе не	4	13
6	только в	2	11
7	не только	4	11
8	во всех	4	11
9	во время	6	10
10	в том	6	10
11	как бы	3	10
12	точки зрения	2	10
13	но в	2	10
14	не в	3	9
15	но и	4	9
16	и не	12	9
17	и для	2	9
18	в связи	9	8
19	связи с	10	8
20	как и	3	8
21	то же	7	8
22	того чтобы	3	8
23	для того	2	8
24	с точки	2	8
25	потому что	3	8
26	из них	3	8
27	может быть	52	7
28	то что	8	7
29	так и	6	7
30	как мы	6	6
31	еще не	3	6
32	его в	2	6
33	все же	7	6
34	так как	16	6
35	в частности	2	5
36	с этим	11	5
37	по существу	12	5
38	в пределах	3	5
39	в то	3	5
40	но не	4	5
41	он не	3	5
42	и др	10	5
43	что в	8	5
44	все эти	2	5
45	в образе	4	4
46	же в	2	4
47	том что	4	4
48	что они	2	4
49	есть и	4	4
50	и их	2	4
51	как в	3	4
52	а не	11	4
53	также и	4	4
54	о том	2	4
55	прежде чем	3	3
56	мы будем	3	3
57	себя и	2	3
58	не является	3	3
59	та же	2	3
60	к этому	3	3
61	по всему	2	3
62	как уже	2	3
63	к тому	4	3
64	на первый	3	3
65	в море	5	3
66	что он	4	3
67	а затем	4	3
68	и как	5	3
69	в качестве	5	3
70	в большинстве	3	3
71	хотя и	3	3
72	а также	4	3
73	что и	7	3
74	в форме	6	3
75	целый ряд	3	3
76	т д	39	3
77	не на	2	3
78	и другие	6	3
79	таким образом	21	3
80	уже не	2	3
81	здесь мы	3	3
82	того что	3	3
83	и по	2	3
84	а в	7	3
85	в которых	2	3
86	тем что	4	3
87	имеем в	6	3
88	в другом	2	3
89	в этих	13	3
90	большинстве случаев	3	3
91	на этом	3	2
92	и затем	4	2
93	по своему	2	2
94	и есть	2	2
95	вступают в	3	2
96	говорить о	3	2
97	на котором	3	2
98	с другой	8	2
99	это не	6	2
100	эти формы	2	2
101	очень часто	6	2
102	можно сказать	2	2
103	без всякого	2	2
104	у нас	2	2
105	мы видим	13	2
106	в этой	2	2
107	с тем	2	2
108	совсем не	3	2
109	а на	3	2
110	смысле слова	4	2
111	и пр	37	2
112	она не	2	2
113	было бы	3	2
114	и к	4	2
115	дается в	2	2
116	наряду с	5	2
117	в сущности	3	2
118	если в	5	2
119	один из	5	2
120	этом случае	8	2
121	в некоторых	3	2
122	быть и	2	2
123	не может	14	2
124	здесь не	2	2
125	сюда же	3	2
126	так же	3	2
127	форма в	3	2
128	друг на	2	2
129	но это	6	2
130	то в	3	2
131	мы имеем	9	2
132	могут быть	16	2
133	на друга	2	2
134	ту же	2	2
135	далеко не	5	2
136	там где	5	2
137	как это	3	2
138	во всяком	2	2
139	в последнем	2	2
140	значит что	3	2
