N	2gram	Bakhtin_Fr_6	Istorich
1	и в	41	26
2	так же	5	18
3	то что	10	16
4	не только	10	15
5	что в	7	14
6	может быть	2	14
7	но и	13	12
8	что он	6	10
9	так и	5	10
10	таким образом	17	10
11	и его	13	10
12	все же	4	9
13	и не	3	9
14	так как	10	9
15	то же	5	8
16	а в	4	8
17	в этих	2	7
18	превращается в	2	7
19	во время	9	7
20	как и	7	7
21	он не	2	7
22	как в	4	7
23	их в	2	7
24	в этом	12	7
25	в дальнейшем	2	6
26	мы видим	6	6
27	что они	2	6
28	мы видели	2	6
29	вместе с	6	6
30	не может	4	6
31	а не	2	6
32	к нему	3	6
33	и то	2	6
34	потому что	3	6
35	как он	2	6
36	у него	7	5
37	и как	4	5
38	в одном	5	5
39	это и	2	5
40	но не	2	5
41	в его	7	5
42	и у	2	5
43	мы уже	18	5
44	до сих	3	5
45	и др	10	5
46	сих пор	3	5
47	как мы	12	5
48	и что	5	5
49	не в	4	5
50	и с	16	5
51	тем что	5	5
52	в другом	4	5
53	но в	8	5
54	с другой	4	4
55	вовсе не	7	4
56	а на	2	4
57	все что	4	4
58	в своей	2	4
59	даже в	4	4
60	он в	2	4
61	другой стороны	2	4
62	но эта	2	4
63	и даже	4	4
64	дает нам	2	4
65	но он	5	4
66	о том	9	4
67	перед нами	3	3
68	части тела	6	3
69	в одной	3	3
70	из этих	2	3
71	к себе	2	3
72	в образе	6	3
73	для нас	2	3
74	в том	2	3
75	а затем	4	3
76	том что	7	3
77	но это	3	3
78	во всем	5	3
79	при этом	3	3
80	и другие	2	3
81	мы увидим	3	3
82	например в	6	3
83	на его	2	3
84	как бы	7	3
85	все эти	11	3
86	а также	5	3
87	и он	5	3
88	данном случае	2	3
89	а именно	2	3
90	не на	2	3
91	как это	2	3
92	те же	3	3
93	не мог	3	3
94	между ними	3	3
95	есть только	3	3
96	или в	6	3
97	в данном	3	3
98	связи с	2	3
99	что мы	2	3
100	только в	3	3
101	переходит в	2	3
102	человека с	2	3
103	там где	5	3
104	с миром	3	3
105	связана с	2	2
106	уже в	4	2
107	не могут	2	2
108	что образ	5	2
109	должна быть	2	2
110	связанных с	3	2
111	это уже	2	2
112	никогда не	8	2
113	в своем	5	2
114	и во	2	2
115	с этим	3	2
116	и все	9	2
117	с помощью	6	2
118	в страну	2	2
119	так что	2	2
120	есть в	3	2
121	в истории	2	2
122	от него	2	2
123	на этом	2	2
124	есть и	2	2
125	и тот	2	2
126	было бы	3	2
127	средние века	4	2
128	конечно не	3	2
129	у нас	4	2
130	в частности	2	2
131	хотя и	2	2
132	в главе	2	2
133	в нем	16	2
134	себя в	2	2
135	из них	5	2
136	в форме	2	2
137	и их	3	2
138	все это	11	2
139	что это	5	2
140	на языке	3	2
141	лишь в	2	2
142	возможно что	2	2
143	того что	3	2
144	только с	3	2
145	земли и	4	2
146	к этим	3	2
147	на которой	2	2
148	он стал	2	2
149	в таких	2	2
150	и на	9	2
151	с этой	3	2
152	сказать что	6	2
153	в средние	4	2
154	в себе	5	2
155	в этой	8	2
156	тех же	2	2
157	в особенности	7	2
158	и этим	2	2
159	в области	2	2
