N	2gram	Vinokur_Ku_3	Istorich
1	и в	23	28
2	может быть	14	25
3	и т	54	25
4	т д	8	22
5	не может	6	15
6	а не	11	15
7	для нас	4	13
8	мы должны	3	13
9	мы имеем	2	13
10	что в	13	12
11	то же	6	12
12	не только	17	12
13	только в	6	11
14	что он	6	10
15	все же	5	10
16	прежде всего	9	10
17	но и	3	10
18	т е	32	10
19	мы не	3	10
20	и что	7	10
21	в том	22	9
22	о том	6	9
23	то что	4	9
24	и не	10	9
25	не в	5	9
26	так и	6	9
27	что это	3	8
28	если бы	8	8
29	таким образом	9	8
30	в этом	16	8
31	но в	2	8
32	в этих	2	7
33	это не	3	7
34	том что	11	7
35	еще не	9	7
36	было бы	16	7
37	в ней	3	7
38	а в	5	7
39	этот вопрос	3	7
40	так же	2	7
41	и здесь	2	7
42	что мы	2	7
43	с другой	7	6
44	не менее	12	6
45	к тому	3	6
46	тем не	9	6
47	что и	6	6
48	когда он	2	6
49	его в	2	6
50	так как	9	6
51	вместе с	2	6
52	должна быть	3	5
53	не знает	2	5
54	в одном	2	5
55	вопрос о	11	5
56	по существу	3	5
57	в дальнейшем	2	5
58	в силу	6	5
59	что они	2	5
60	более или	2	5
61	но не	3	5
62	до сих	8	5
63	в качестве	2	5
64	не будем	5	5
65	что она	5	5
66	дело не	2	5
67	сих пор	8	5
68	или менее	2	5
69	другой стороны	3	5
70	в своем	4	5
71	можно было	11	5
72	увидим что	2	5
73	сказать что	7	5
74	в его	11	5
75	все это	2	4
76	с тем	6	4
77	связи с	6	4
78	там где	3	4
79	в пределах	2	4
80	но все	2	4
81	но это	5	4
82	и пр	3	4
83	одной стороны	4	4
84	чем это	2	4
85	один из	4	4
86	на него	3	4
87	а именно	3	4
88	так в	2	4
89	в связи	5	4
90	с одной	4	4
91	как и	5	4
92	это так	2	4
93	того что	11	4
94	хотя бы	9	4
95	и с	3	4
96	потому что	12	4
97	то мы	3	4
98	могут быть	6	4
99	они не	3	4
100	все эти	7	4
101	здесь не	2	4
102	не все	2	4
103	не то	2	4
104	я не	5	3
105	случаи когда	2	3
106	точку зрения	2	3
107	в какой	3	3
108	может оказаться	2	3
109	не как	2	3
110	по себе	6	3
111	не с	2	3
112	именно в	3	3
113	для этого	6	3
114	на этом	2	3
115	при этом	6	3
116	в котором	2	3
117	то это	3	3
118	отношению к	2	3
119	того как	7	3
120	в их	6	3
121	что же	5	3
122	связь между	3	3
123	уже не	8	3
124	не просто	2	3
125	если мы	7	3
126	чтобы не	2	3
127	как мы	5	3
128	как это	7	3
129	по отношению	3	3
130	также и	5	3
131	очень много	2	3
132	тем что	5	3
133	в то	3	3
134	раз и	2	3
135	это конечно	2	3
136	и должно	5	3
137	здесь можно	5	2
138	на вопрос	3	2
139	только для	2	2
140	а с	3	2
141	в рамках	5	2
142	не могут	5	2
143	вопрос в	2	2
144	отличие от	2	2
145	в частности	2	2
146	были бы	4	2
147	именно так	2	2
148	не означает	2	2
149	столь же	4	2
150	то он	3	2
151	можно видеть	2	2
152	вовсе не	5	2
153	ясно что	4	2
154	но мы	2	2
155	том чтобы	4	2
156	в тех	2	2
157	в ее	4	2
158	мы видели	3	2
159	в зависимости	7	2
160	и как	2	2
161	зависимости от	8	2
162	как о	3	2
163	не более	2	2
164	не дает	2	2
165	тот же	6	2
166	и тот	2	2
167	в данной	3	2
168	и если	2	2
169	что не	4	2
170	что такое	4	2
171	не по	3	2
172	но если	3	2
173	как бы	5	2
174	относится к	2	2
175	в таких	2	2
176	подчеркнуть что	2	2
177	связи и	2	2
178	был бы	3	2
179	точка зрения	4	2
180	и тем	6	2
181	не есть	3	2
182	в целом	4	2
183	в некоторых	2	2
184	конечно не	2	2
185	как в	4	2
186	как раз	4	2
187	то и	2	2
188	в отличие	2	2
189	и только	3	2
190	в особенности	2	2
191	он не	3	2
192	еще и	2	2
193	и вот	3	2
194	именно на	2	2
195	на этот	2	2
196	не так	3	2
197	должно быть	7	2
198	то здесь	2	2
199	ничего не	6	2
200	нас в	3	2
201	между тем	4	2
202	однако в	2	2
203	он в	2	2
204	xix века	3	2
205	один и	2	2
206	что если	2	2
207	как он	2	2
208	которые в	4	2
209	в свете	2	2
210	всякого рода	5	2
211	когда мы	3	2
212	которые можно	2	2
213	в области	14	2
214	тогда когда	4	2
