N	2gram	Vygotskiy__6	Sovremen
1	не может	19	17
2	точки зрения	13	12
3	может быть	13	12
4	таким образом	18	11
5	мы не	6	9
6	в каждом	3	8
7	в этом	27	7
8	и в	28	7
9	и не	11	6
10	как и	6	6
11	мы можем	9	6
12	прежде всего	2	5
13	все эти	2	5
14	и наконец	2	5
15	с точки	10	5
16	как бы	11	4
17	в развитии	24	4
18	мы видели	8	4
19	если мы	2	4
20	в целом	3	4
21	вместе с	7	4
22	в зависимости	5	4
23	это не	5	4
24	а в	2	4
25	вопрос о	5	4
26	не только	16	4
27	с помощью	13	4
28	в том	28	4
29	из них	2	4
30	точку зрения	2	4
31	мы должны	3	4
32	зависимости от	5	4
33	системы в	4	4
34	так как	10	4
35	в системе	3	3
36	но мы	3	3
37	самого начала	7	3
38	все же	2	3
39	на этой	5	3
40	видели что	3	3
41	поэтому мы	2	3
42	он может	2	3
43	между собой	9	3
44	все это	2	3
45	отличается от	3	3
46	мы называем	2	3
47	в конце	2	3
48	в наших	4	3
49	то же	7	3
50	его развития	3	3
51	ясно что	4	3
52	в нем	7	3
53	а не	3	3
54	и к	6	3
55	для нас	2	3
56	у нас	2	3
57	когда мы	6	3
58	с самого	7	3
59	не в	4	3
60	в этой	5	3
61	еще не	8	3
62	при этом	3	3
63	было бы	9	3
64	и т.д	3	3
65	в одном	2	3
66	и все	5	3
67	в первом	4	3
68	в себе	4	3
69	в области	6	3
70	но в	5	3
71	не могут	5	2
72	не менее	2	2
73	у него	2	2
74	в нашем	4	2
75	на котором	2	2
76	приводит к	6	2
77	из этих	3	2
78	что все	5	2
79	как мы	10	2
80	для развития	5	2
81	развития в	6	2
82	самом деле	2	2
83	и что	6	2
84	что при	4	2
85	что такое	3	2
86	на этот	4	2
87	и по	3	2
88	мы знаем	4	2
89	он должен	4	2
90	развития но	3	2
91	той же	4	2
92	мы видим	7	2
93	на этом	4	2
94	знаем что	4	2
95	могут быть	5	2
96	с этим	4	2
97	этой стадии	2	2
98	как известно	7	2
99	что в	17	2
100	с другом	5	2
101	же самое	6	2
102	на его	3	2
103	в самом	8	2
104	друг с	5	2
105	в которой	7	2
106	в его	3	2
