N	2gram	Savitsky_P_1	EvropaiE
1	и в	14	37
2	в отношении	10	32
3	в пределах	8	25
4	точки зрения	3	23
5	что в	4	21
6	не только	17	18
7	с точки	3	17
8	в то	7	16
9	хотя бы	8	15
10	то же	9	15
11	отношении к	5	15
12	старого света	9	14
13	в своем	4	14
14	в качестве	9	14
15	же время	7	14
16	но и	6	14
17	и не	12	14
18	но в	9	14
19	в этом	10	12
20	россия в	3	11
21	н с	2	11
22	в том	9	11
23	в области	11	11
24	отнюдь не	2	9
25	прежде всего	3	9
26	в смысле	6	9
27	не может	4	9
28	т е	3	9
29	в себе	3	9
30	только в	7	9
31	думать что	2	8
32	в ее	2	8
33	одной стороны	3	8
34	было бы	6	8
35	с одной	3	8
36	между тем	3	8
37	между прочим	2	7
38	того что	2	7
39	а также	4	7
40	с другой	5	7
41	том что	4	6
42	стороны и	2	6
43	может быть	5	6
44	вслед за	3	6
45	для того	3	6
46	как бы	4	6
47	в последние	2	6
48	то что	4	6
49	во всех	2	6
50	в частности	2	5
51	столь же	3	5
52	не в	5	5
53	но не	3	5
54	со стороны	2	5
55	которую мы	2	5
56	тем самым	3	5
57	в виде	2	5
58	в россии	3	5
59	и потому	4	5
60	именно в	2	4
61	на путях	4	4
62	весьма вероятно	2	4
63	в ней	6	4
64	по себе	4	4
65	для нас	2	4
66	россии в	5	4
67	мы не	3	4
68	культуры в	2	4
69	тем более	2	4
70	в перспективе	2	4
71	в полной	2	4
72	и к	4	3
73	в сфере	2	3
74	с тем	3	3
75	в них	2	3
76	европейской культуры	4	3
77	в общем	2	3
78	россии как	3	3
79	бы ни	2	3
80	и мы	2	3
81	из них	2	3
82	и тем	2	3
83	время в	2	3
84	заключает в	2	3
85	российского мира	2	3
86	как на	2	3
87	в которых	5	3
88	потому что	3	3
89	россии и	4	3
90	северной америке	3	3
91	в порядке	3	2
92	для них	2	2
93	а не	2	2
94	еще более	2	2
95	с т	4	2
96	по сравнению	2	2
97	с этим	2	2
98	но также	4	2
99	главным образом	2	2
100	в северной	2	2
101	есть не	2	2
102	исключительно в	2	2
103	не нужно	2	2
104	же в	4	2
105	и как	3	2
106	в силу	2	2
107	есть в	2	2
108	хозяйства и	2	2
109	и если	4	2
110	не к	2	2
111	другие народы	2	2
112	в его	2	2
113	помнить что	2	2
114	в котором	4	2
115	если в	2	2
116	русская революция	4	2
117	в мире	2	2
118	сказывается в	2	2
119	наряду с	3	2
120	в гораздо	4	2
121	во всей	2	2
122	а в	4	2
123	если бы	4	2
124	и других	2	2
125	заключается в	3	2
126	в значительной	2	2
127	более чем	2	2
128	и с	2	2
129	хотя и	3	2
130	могут быть	3	2
131	мы должны	4	2
132	которое в	2	2
133	в эту	2	2
