N	3gram	Losev_Prob_3	Psycholo
1	в том что	9	14
2	о том что	3	6
3	заключается в том	3	6
4	до сих пор	2	5
5	с другой стороны	5	5
6	по сравнению с	2	4
7	и если мы	2	4
8	мы могли бы	3	4
9	и как бы	2	4
10	сам по себе	6	3
11	и то же	4	3
12	одно и то	3	3
13	то же самое	7	3
14	и то что	7	3
15	и т д	13	3
16	можно было бы	3	3
17	никак не может	2	3
18	можно сказать что	2	2
19	в конце концов	3	2
20	друг от друга	2	2
21	сами по себе	6	2
22	в данном случае	7	2
23	в отличие от	2	2
24	той или иной	8	2
25	ясно что в	2	2
26	не что иное	4	2
27	на первый план	2	2
28	может быть и	3	2
29	именно потому что	3	2
30	с точки зрения	2	2
31	не может быть	5	2
32	что иное как	4	2
33	не только в	2	2
34	само по себе	3	2
35	на самом деле	2	2
36	в этом случае	5	2
37	потому что он	4	2
