N	2gram	Vygotskiy__3	PoTuStor
1	может быть	13	17
2	и в	25	16
3	прежде всего	4	9
4	таким образом	17	9
5	в этом	14	9
6	мы можем	7	9
7	и только	2	9
8	и его	2	8
9	точки зрения	6	8
10	не может	6	8
11	с его	2	7
12	сказать что	4	7
13	не только	6	7
14	и это	4	6
15	и к	5	6
16	для него	5	6
17	при этом	5	6
18	все эти	7	5
19	в чем	2	5
20	ни в	9	5
21	еще не	4	5
22	как бы	10	5
23	в него	3	5
24	с самого	6	4
25	самого начала	6	4
26	в нем	2	4
27	и их	3	4
28	отнюдь не	4	4
29	но и	4	4
30	так и	5	4
31	все это	6	4
32	и все	4	4
33	так как	12	4
34	и не	10	4
35	как мы	8	4
36	с ними	3	4
37	и на	6	4
38	в этой	5	4
39	с ее	5	4
40	все что	2	4
41	и может	2	4
42	только в	10	4
43	в один	2	4
44	его в	3	4
45	в его	15	4
46	мы знаем	4	3
47	на этой	5	3
48	в этих	2	3
49	по сравнению	4	3
50	что в	17	3
51	могут быть	5	3
52	вместе с	14	3
53	ребенка и	17	3
54	сравнению с	3	3
55	в одном	2	3
56	этом смысле	2	3
57	в том	23	3
58	а в	4	3
59	том что	20	3
60	и как	5	3
61	с другими	2	3
62	с их	2	3
63	то что	15	3
64	их в	3	3
65	в основе	16	3
66	на этом	3	3
67	едва ли	2	3
68	как это	7	3
69	в области	7	3
70	во всяком	4	3
71	в основном	6	3
72	и потому	2	3
73	между ними	3	3
74	всяком случае	4	3
75	не менее	6	2
76	один из	6	2
77	не могут	4	2
78	что и	10	2
79	не есть	3	2
80	в развитии	24	2
81	ни было	2	2
82	не имеющие	2	2
83	же как	6	2
84	не будет	2	2
85	в частности	4	2
86	никогда не	4	2
87	между собой	13	2
88	для этого	2	2
89	в них	2	2
90	если мы	3	2
91	находится в	2	2
92	того же	6	2
93	оно не	2	2
94	с этой	3	2
95	из этих	4	2
96	с этим	4	2
97	в жизни	3	2
98	то же	2	2
99	с нею	2	2
100	что оно	4	2
101	к этому	3	2
102	и других	2	2
103	нет никаких	4	2
104	с помощью	42	2
105	что он	6	2
106	мы не	9	2
107	что мы	7	2
108	на первый	2	2
109	и по	5	2
110	и для	2	2
111	для нас	2	2
112	все остальные	2	2
113	момента в	2	2
114	как и	15	2
115	понятия и	3	2
116	на основе	22	2
117	мы видим	3	2
118	так же	17	2
119	но это	5	2
120	путь к	3	2
121	мы уже	5	2
122	по своему	11	2
123	этой ступени	5	2
124	он не	4	2
125	как с	4	2
126	есть и	2	2
127	в каком	2	2
128	не можем	3	2
129	в начале	2	2
130	было бы	10	2
131	со всеми	6	2
132	что это	5	2
133	связанные с	2	2
134	о том	5	2
135	в самом	3	2
136	но как	3	2
137	в своей	2	2
138	к другим	2	2
139	с ним	4	2
140	цели и	2	2
