N	2gram	Propp_Russ_2	Russkaja
1	не может	5	22
2	в том	22	17
3	в этом	11	17
4	и в	29	14
5	то что	5	13
6	таким образом	6	11
7	то же	4	11
8	но и	8	10
9	в то	2	10
10	том что	22	9
11	церкви и	2	9
12	не только	10	9
13	может быть	13	9
14	прежде всего	2	8
15	того чтобы	6	8
16	в данном	6	7
17	о том	9	7
18	и с	10	7
19	на самом	2	6
20	и при	2	6
21	с тем	6	6
22	для того	6	6
23	все это	10	6
24	и для	2	6
25	в своих	2	6
26	между собой	2	5
27	жизни в	2	5
28	вопрос о	4	5
29	и на	6	5
30	при этом	6	5
31	было бы	3	5
32	в своей	2	5
33	никогда не	2	5
34	во всех	3	5
35	по существу	4	5
36	из которых	2	5
37	а в	9	5
38	потому что	5	5
39	между тем	3	5
40	но не	5	4
41	что в	22	4
42	тогда когда	4	4
43	как и	11	4
44	когда они	2	4
45	как бы	18	4
46	все же	2	4
47	вместе с	6	4
48	в их	2	4
49	на земле	5	4
50	не в	4	4
51	можно было	2	4
52	и то	2	4
53	в этой	3	4
54	во всем	2	4
55	его в	8	4
56	так как	13	4
57	для них	2	3
58	что это	3	3
59	именно в	4	3
60	из этих	2	3
61	главным образом	3	3
62	этом случае	6	3
63	и как	2	3
64	так чтобы	2	3
65	должно быть	2	3
66	в качестве	3	3
67	еще не	6	3
68	том чтобы	2	3
69	но если	3	3
70	для этого	5	3
71	что и	2	3
72	и т	5	3
73	из них	4	3
74	данном случае	7	3
75	вряд ли	2	3
76	не было	2	3
77	того что	3	3
78	и по	3	3
79	друг друга	3	3
80	что для	3	3
81	или в	7	3
82	тем что	3	3
83	в виде	4	3
84	связи с	2	3
85	из этого	2	3
86	одна из	11	3
87	а с	2	2
88	по этому	2	2
89	и от	3	2
90	с этим	2	2
91	этот вопрос	2	2
92	это в	2	2
93	состоит в	15	2
94	совершенно очевидно	2	2
95	уже не	4	2
96	так что	4	2
97	вся эта	2	2
98	не можем	2	2
99	что с	2	2
100	там и	2	2
101	она не	3	2
102	совершенно не	2	2
103	и о	3	2
104	в котором	3	2
105	этом и	2	2
106	не к	2	2
107	для нас	6	2
108	в некоторых	9	2
109	но она	2	2
110	ее в	8	2
111	тогда как	2	2
112	в течение	2	2
113	все эти	3	2
114	и что	5	2
115	а не	4	2
116	к нему	4	2
117	так же	4	2
118	в других	15	2
119	во многих	9	2
120	в таком	4	2
121	принадлежат к	2	2
122	том же	4	2
123	людей и	2	2
124	их в	4	2
125	использовать в	2	2
126	на себя	2	2
127	во время	12	2
128	на эту	2	2
129	в таких	3	2
130	в этих	3	2
131	но в	5	2
