N	2gram	Vygotskiy__5	KFilosof
1	может быть	9	43
2	в его	11	39
3	в нем	7	31
4	не может	18	27
5	и не	12	26
6	по отношению	12	25
7	и в	16	22
8	в котором	2	21
9	отношению к	12	21
10	не есть	4	19
11	а не	10	17
12	и его	3	17
13	только в	10	16
14	точки зрения	18	13
15	в этом	25	13
16	для него	5	12
17	но не	10	12
18	все эти	4	11
19	в своей	2	11
20	не в	6	11
21	к нему	3	11
22	в своем	5	10
23	это не	4	10
24	все это	2	10
25	во всех	2	10
26	с точки	9	10
27	и есть	7	9
28	в целом	4	9
29	но и	6	9
30	в их	3	9
31	как бы	5	9
32	если бы	8	8
33	было бы	10	8
34	жизни и	2	8
35	на основе	2	7
36	и здесь	2	7
37	во всем	2	7
38	в единстве	2	7
39	вовсе не	2	7
40	что и	3	7
41	то что	26	7
42	в себя	3	7
43	я не	2	6
44	в смысле	3	6
45	в том	18	6
46	но это	3	6
47	отношение к	11	6
48	совершенно не	2	6
49	и их	4	6
50	он не	8	6
51	никогда не	5	5
52	хотя бы	5	5
53	то же	8	5
54	но все	2	5
55	именно в	4	5
56	не имеет	4	5
57	должно быть	8	5
58	в основе	8	5
59	но как	3	5
60	его в	2	5
61	с ним	5	5
62	но в	6	5
63	не знает	5	5
64	как и	8	5
65	что я	2	5
66	не только	16	5
67	все же	3	5
68	что в	16	4
69	при этом	4	4
70	к ним	2	4
71	в своих	2	4
72	между тем	3	4
73	в одном	3	4
74	быть в	2	4
75	том что	15	4
76	а в	3	4
77	тем самым	8	4
78	и т.д	4	4
79	в чем	3	4
80	должна быть	5	3
81	не менее	3	3
82	теории и	2	3
83	в свою	4	3
84	не дает	2	3
85	до конца	3	3
86	в виду	2	3
87	и тем	3	3
88	в корне	2	3
89	от того	3	3
90	того что	16	3
91	и на	6	3
92	в ней	2	3
93	в то	5	3
94	о том	8	3
95	мы не	3	3
96	сознания и	2	3
97	тогда когда	5	3
98	и отношения	3	3
99	по своему	3	3
100	еще не	4	3
101	самом деле	3	3
102	для того	14	3
103	тем что	5	3
104	могут быть	4	3
105	в момент	2	3
106	в другом	6	3
107	ничего не	5	3
108	а с	2	2
109	сознания в	3	2
110	его и	3	2
111	действительно ли	3	2
112	прежде всего	3	2
113	вопрос о	12	2
114	и как	3	2
115	это есть	4	2
116	он может	3	2
117	себя и	2	2
118	в определенной	2	2
119	что значит	3	2
120	по себе	7	2
121	тому что	5	2
122	и единство	2	2
123	он имеет	3	2
124	мышления и	4	2
125	для другого	2	2
126	потому что	21	2
127	может иметь	2	2
128	говорить о	3	2
129	что только	2	2
130	и то	4	2
131	с тем	3	2
132	из нее	5	2
133	что эта	3	2
134	в жизни	2	2
135	к этому	3	2
136	что он	25	2
137	и того	3	2
138	в качестве	4	2
139	тот же	5	2
140	и может	3	2
141	и тот	3	2
142	со всеми	2	2
143	или иным	2	2
144	и потому	2	2
145	но этот	2	2
146	и эти	2	2
147	в процессе	13	2
148	так и	7	2
149	как в	5	2
150	вытекает из	3	2
151	нами в	2	2
152	еще более	5	2
153	это и	3	2
154	того чтобы	17	2
155	в этой	6	2
156	ничего общего	3	2
157	один и	3	2
158	его на	2	2
159	в области	12	2
