N	2gram	Potebnia_M_4	Analitik
1	тогда как	4	19
2	в этом	23	18
3	и в	23	16
4	не только	10	16
5	так и	6	15
6	как и	14	14
7	в том	23	12
8	но и	11	12
9	и не	18	12
10	том что	12	12
11	могут быть	7	10
12	как бы	5	10
13	при этом	15	10
14	а не	12	10
15	лишь в	3	9
16	и даже	2	9
17	то есть	34	9
18	в данном	4	8
19	состоит в	2	8
20	к тому	3	7
21	в себе	14	7
22	то что	29	7
23	о том	8	7
24	с другой	2	6
25	в самом	3	6
26	в мире	2	6
27	и на	3	6
28	говорить о	5	6
29	может быть	26	6
30	но в	8	6
31	и к	6	5
32	данном случае	2	5
33	не менее	5	4
34	только не	3	4
35	в своем	8	4
36	столь же	2	4
37	можно сказать	4	4
38	этом случае	5	4
39	уже не	3	4
40	не в	11	4
41	тем самым	4	4
42	для него	5	4
43	в сущности	2	4
44	и тем	4	4
45	не с	2	4
46	отношению к	8	4
47	как в	7	4
48	все это	5	4
49	по отношению	10	4
50	не может	11	4
51	и его	2	4
52	то же	14	4
53	не так	2	4
54	хотя и	5	4
55	точки зрения	4	4
56	только в	15	4
57	в сознании	4	4
58	нашего времени	3	4
59	никогда не	3	3
60	в нашем	2	3
61	по крайней	5	3
62	этого слова	7	3
63	что на	2	3
64	тем не	4	3
65	так что	5	3
66	есть в	5	3
67	имеем дело	2	3
68	по поводу	4	3
69	было бы	8	3
70	в действительности	3	3
71	крайней мере	5	3
72	и если	3	3
73	со своим	4	3
74	на себе	3	3
75	мы имеем	4	3
76	на его	3	3
77	в речи	3	3
78	что и	7	3
79	проявляется в	2	3
80	со стороны	3	3
81	только на	4	3
82	если бы	13	3
83	именно в	3	3
84	можно было	2	3
85	а в	5	3
86	как мы	2	3
87	тому как	2	3
88	с ними	3	3
89	и то	5	3
90	тем что	10	3
91	подобно тому	2	3
92	я в	2	3
93	бы в	2	3
94	и все	4	3
95	а как	2	2
96	того что	14	2
97	уже и	2	2
98	в состоянии	2	2
99	в одном	4	2
100	что все	4	2
101	вовсе не	7	2
102	и я	2	2
103	по себе	11	2
104	на то	7	2
105	теми же	2	2
106	за собою	2	2
107	все что	2	2
108	превращается в	2	2
109	же время	3	2
110	что в	17	2
111	она не	2	2
112	еще не	3	2
113	значительной степени	2	2
114	в таких	2	2
115	в котором	4	2
116	даже в	2	2
117	один из	2	2
118	это было	2	2
119	не есть	9	2
120	и их	3	2
121	вместе с	6	2
122	дело не	2	2
123	что она	2	2
124	внимание на	5	2
125	вообще и	3	2
126	языка и	3	2
127	в нас	3	2
128	таким образом	24	2
129	той же	3	2
130	на котором	4	2
131	еще более	2	2
132	те же	3	2
133	в двух	2	2
134	но эта	2	2
135	этих случаях	2	2
136	на этот	2	2
137	не имеет	5	2
138	и для	2	2
139	с точки	3	2
140	так же	4	2
141	в таком	4	2
142	и до	3	2
143	не следует	2	2
144	между тем	9	2
145	он не	2	2
146	к его	2	2
147	в то	4	2
148	в его	5	2
149	в поэзии	3	2
150	его в	4	2
151	в этих	3	2
152	таком случае	2	2
153	сказать что	8	2
154	с ним	5	2
155	стало быть	8	2
156	не дано	2	2
