N	2gram	Vygotskiy__2	Problema
1	то что	20	38
2	и не	7	37
3	вовсе не	6	37
4	и в	15	35
5	сказать что	6	24
6	не только	15	24
7	том что	27	19
8	о том	9	18
9	может быть	9	18
10	в этом	19	17
11	но и	10	16
12	и вообще	2	16
13	что мы	9	14
14	только в	4	14
15	и что	8	13
16	потому что	7	13
17	во всяком	7	13
18	не может	9	13
19	в том	33	12
20	того что	17	12
21	также и	2	12
22	хотя бы	4	12
23	что в	14	11
24	прежде всего	4	11
25	и даже	5	11
26	всяком случае	6	10
27	и с	4	10
28	говорить о	2	10
29	тем более	3	10
30	а не	3	10
31	в данном	3	10
32	ничего не	3	10
33	если мы	6	9
34	для нас	4	9
35	в этой	6	9
36	едва ли	7	9
37	для себя	3	9
38	что же	2	9
39	было бы	10	8
40	в виду	6	8
41	знаком и	3	8
42	по себе	7	8
43	как раз	4	8
44	все же	4	8
45	при помощи	4	8
46	казалось бы	8	7
47	смысле слова	5	7
48	не является	9	7
49	есть нечто	2	7
50	все эти	3	7
51	не имеет	4	7
52	между знаком	3	7
53	в его	2	7
54	так и	8	7
55	бы и	3	7
56	так как	4	7
57	тем самым	3	7
58	мы не	10	7
59	с другой	6	6
60	что все	4	6
61	можно сказать	2	6
62	ни в	2	6
63	не существует	3	6
64	на то	6	6
65	же самое	2	6
66	и для	2	6
67	мы можем	10	6
68	но в	6	6
69	в частности	6	5
70	представление о	5	5
71	или иной	2	5
72	же это	2	5
73	в самом	11	5
74	той или	2	5
75	отнюдь не	2	5
76	данном случае	3	5
77	языка и	3	5
78	в связи	6	5
79	с этим	3	5
80	с одной	7	5
81	так же	4	5
82	и более	2	5
83	и все	3	5
84	этом смысле	2	5
85	как и	6	5
86	связи с	9	5
87	указывает на	2	5
88	то же	5	5
89	как мы	6	5
90	под этим	2	5
91	одной стороны	7	5
92	можно было	5	5
93	с другими	3	5
94	в себе	2	5
95	и это	3	5
96	не могут	2	4
97	сама по	2	4
98	что если	2	4
99	и есть	2	4
100	в этих	2	4
101	в своем	9	4
102	в отношении	6	4
103	эта теория	2	4
104	человеческой речи	12	4
105	что на	2	4
106	без всякого	2	4
107	и как	2	4
108	более или	2	4
109	не можем	3	4
110	случае не	2	4
111	в общем	3	4
112	и той	2	4
113	и самого	2	4
114	как бы	7	4
115	и тем	2	4
116	значение в	3	4
117	что она	3	4
118	все это	4	4
119	и только	3	4
120	таким образом	14	4
121	заключается в	8	4
122	а в	4	4
123	этой теории	3	4
124	в результате	3	4
125	их в	4	4
126	но если	2	4
127	тем что	2	4
128	если бы	8	4
129	что он	12	4
130	стороны и	2	4
131	но не	3	4
132	что при	3	4
133	тот же	7	4
134	или менее	2	4
135	и самый	2	4
136	на самом	3	4
137	самом деле	6	4
138	как только	2	3
139	уже в	5	3
140	он сам	3	3
141	из этих	4	3
142	вопрос о	5	3
143	к тому	7	3
144	но эта	3	3
145	и можно	2	3
146	что они	3	3
147	несмотря на	4	3
148	мы уже	6	3
149	но мы	3	3
150	в целом	10	3
151	и их	5	3
152	в их	2	3
153	для этого	3	3
154	относятся к	2	3
155	при этом	3	3
156	лишь в	3	3
157	только его	2	3
158	и по	3	3
159	о языке	2	3
160	что для	3	3
161	в основе	3	3
162	в истории	6	3
163	мы должны	6	3
164	могли бы	4	3
165	но ведь	2	3
166	с которой	2	3
167	уже и	2	3
168	по этому	6	3
169	тогда когда	5	3
170	и к	6	3
171	о которых	3	3
172	только тогда	2	3
173	все что	5	3
174	на том	2	3
175	нет и	2	3
176	и речи	13	3
177	должны были	3	3
178	все равно	2	3
179	для того	10	3
180	тому как	2	3
181	нас в	2	3
182	указание на	4	3
183	он является	2	2
184	том числе	3	2
185	перед нами	2	2
186	мы могли	4	2
187	бы что	2	2
188	не в	8	2
189	но все	2	2
190	независимо от	4	2
191	числе и	3	2
192	и само	2	2
193	что с	5	2
194	и сам	3	2
195	по поводу	4	2
196	и мы	2	2
197	из которых	3	2
198	самый язык	2	2
199	в зависимости	6	2
200	и др	5	2
201	на этой	2	2
202	друг от	2	2
203	речь не	2	2
204	мышления и	16	2
205	что оно	4	2
206	даже в	4	2
207	или в	3	2
208	должно быть	2	2
209	само по	2	2
210	или как	2	2
211	и мышления	3	2
212	точки зрения	26	2
213	во все	2	2
214	для всех	4	2
215	бы мы	2	2
216	думается что	2	2
217	были бы	2	2
218	в них	4	2
219	с и	4	2
220	в такой	2	2
221	само понятие	4	2
222	об этом	3	2
223	представляет собой	2	2
224	зависимости от	6	2
225	в качестве	4	2
226	от друга	2	2
227	общего с	2	2
228	речи или	2	2
229	в заключение	3	2
230	является для	4	2
231	он не	7	2
232	а также	2	2
233	речь идет	2	2
234	и особенно	3	2
235	что и	2	2
236	отношение между	6	2
237	во всех	2	2
238	вместе с	6	2
239	между которыми	2	2
240	как нечто	2	2
241	этому поводу	3	2
242	того чтобы	12	2
243	прийти к	2	2
244	это обстоятельство	2	2
245	той же	2	2
246	ничем не	3	2
247	подобно тому	2	2
248	и ее	3	2
249	от его	4	2
250	на эту	2	2
251	не то	2	2
252	которые не	2	2
