N	3gram	Potebnia_M_4	KulturaY
1	и т п	4	18
2	в том что	7	15
3	для того чтобы	4	15
4	и т д	3	14
5	с точки зрения	3	9
6	по отношению к	8	8
7	только потому что	2	6
8	по крайней мере	5	5
9	о том что	5	5
10	во всяком случае	3	5
11	до сих пор	4	4
12	не в том	2	4
13	тем не менее	4	4
14	по мере того	4	3
15	только в том	2	3
16	мере того как	4	3
17	не может быть	5	3
18	вместе с тем	3	3
19	то же время	3	2
20	обратить внимание на	2	2
21	хотя бы и	2	2
22	на то что	4	2
23	что язык есть	3	2
24	в то же	3	2
25	рано или поздно	2	2
26	на самом деле	3	2
27	внимание на то	3	2
28	так или иначе	2	2
29	в том и	2	2
30	а в том	2	2
31	в этом случае	5	2
