N	2gram	Propp_Morf_1	Poddanst
1	не только	4	17
2	и в	13	14
3	и не	12	12
4	в этом	14	10
5	то же	7	9
6	в том	6	9
7	в качестве	5	9
8	но в	2	9
9	хотя бы	4	8
10	в пределах	3	8
11	в то	3	7
12	только в	2	7
13	но и	4	6
14	было бы	3	6
15	с другой	8	5
16	не в	3	5
17	в которых	2	5
18	и пр	37	5
19	может быть	52	5
20	же в	2	4
21	то что	8	4
22	что в	8	4
23	если бы	2	4
24	не может	14	4
25	и к	4	4
26	а в	7	4
27	том что	4	4
28	на пути	4	4
29	мы должны	3	4
30	а также	4	4
31	как бы	3	4
32	и т	41	3
33	с тем	2	3
34	в россии	2	3
35	это не	6	3
36	т е	21	3
37	прежде всего	9	3
38	для того	2	3
39	с точки	2	3
40	мы не	8	3
41	и как	5	3
42	между тем	5	3
43	но не	4	3
44	могут быть	16	3
45	точки зрения	2	3
46	что мы	2	3
47	наряду с	5	3
48	вслед за	5	3
49	потому что	3	3
50	хотя и	3	3
51	к началу	4	2
52	не менее	5	2
53	и тем	2	2
54	и есть	2	2
55	во всех	4	2
56	в частности	2	2
57	не будем	4	2
58	со стороны	3	2
59	есть нечто	3	2
60	с этим	11	2
61	главным образом	4	2
62	а не	11	2
63	того что	3	2
64	к чему	3	2
65	для нас	2	2
66	говорить о	3	2
67	если в	5	2
68	одна из	4	2
69	в виде	2	2
70	в начале	3	2
71	из них	3	2
72	например в	2	2
73	знать что	2	2
