N	2gram	Propp_Isto_6	Formalny
1	т е	22	34
2	и в	26	24
3	в его	5	23
4	прежде всего	4	22
5	и не	10	20
6	так и	5	18
7	не может	6	16
8	в этом	12	15
9	в нем	8	14
10	может быть	11	14
11	таким образом	12	13
12	и т	10	12
13	в своем	2	11
14	как и	5	11
15	в своей	3	11
16	вовсе не	2	10
17	и ее	3	10
18	то же	5	10
19	в ней	5	10
20	а не	2	10
21	и его	7	10
22	в то	5	9
23	то что	6	8
24	как в	6	8
25	т д	8	8
26	и на	12	8
27	не в	3	8
28	и с	6	8
29	должна быть	3	7
30	и от	3	7
31	не только	10	7
32	жизни и	2	7
33	но и	9	7
34	было бы	2	6
35	в том	12	6
36	в этой	2	6
37	до сих	4	6
38	она не	3	6
39	еще не	9	6
40	как бы	4	6
41	сих пор	4	6
42	а в	3	6
43	все эти	8	6
44	как это	5	6
45	у нас	5	5
46	при этом	3	5
47	и др	2	5
48	не могло	2	5
49	и до	2	5
50	со стороны	3	5
51	как мы	4	5
52	того что	2	5
53	должны быть	2	5
54	с другой	10	5
55	но в	7	5
56	с его	4	4
57	независимо от	3	4
58	главным образом	3	4
59	в частности	3	4
60	никогда не	13	4
61	стороны и	2	4
62	на западе	2	4
63	одной стороны	7	4
64	если бы	3	4
65	всяком случае	2	4
66	отношению к	2	4
67	так же	2	4
68	по отношению	2	4
69	что в	12	4
70	с одной	7	4
71	как на	3	4
72	с этой	2	4
73	во всяком	2	4
74	но не	2	3
75	в них	3	3
76	что он	9	3
77	к тому	2	3
78	и как	2	3
79	но это	4	3
80	зависимости от	2	3
81	так например	3	3
82	но для	2	3
83	он не	2	3
84	если он	3	3
85	один из	3	3
86	все же	8	3
87	когда он	3	3
88	отличается от	2	3
89	или же	2	3
90	не было	3	3
91	и других	3	3
92	сводится к	2	3
93	мы не	6	3
94	тем самым	2	3
95	и наконец	3	3
96	его в	5	3
97	целый ряд	2	3
98	у них	4	3
99	они не	3	3
100	в себе	3	3
101	здесь не	2	3
102	говорит он	2	3
103	же как	3	2
104	с тем	4	2
105	на своем	4	2
106	в лице	2	2
107	его с	3	2
108	это не	4	2
109	с этим	2	2
110	в одном	3	2
111	связей с	2	2
112	вопрос о	3	2
113	таким же	3	2
114	все время	2	2
115	ни в	2	2
116	уже не	7	2
117	мы видели	11	2
118	но все	2	2
119	одна из	2	2
120	только в	5	2
121	но есть	3	2
122	от того	3	2
123	в него	3	2
124	еще в	3	2
125	что и	4	2
126	не есть	2	2
127	на него	2	2
128	вместе с	8	2
129	эта связь	6	2
130	от нее	2	2
131	ее к	3	2
132	и вот	3	2
133	происходит и	2	2
134	и что	5	2
135	не так	2	2
136	его не	2	2
137	и те	2	2
138	от этого	3	2
139	в своих	3	2
140	на его	4	2
141	ничего не	2	2
142	и это	8	2
143	с ним	8	2
144	в эту	2	2
