N	2gram	Tiupa_Disk_2	Myslijsy
1	то есть	12	34
2	потому что	4	33
3	то что	5	29
4	может быть	16	26
5	в том	8	23
6	и в	16	23
7	в этом	16	23
8	и не	15	18
9	что в	5	17
10	в языке	2	16
11	при этом	17	15
12	только в	3	15
13	как и	16	14
14	в себе	19	14
15	то же	6	14
16	том что	10	12
17	не было	3	12
18	а не	14	12
19	но и	11	11
20	не в	3	11
21	не может	9	11
22	по отношению	4	10
23	не только	10	10
24	между тем	2	9
25	в своем	5	8
26	отношению к	4	8
27	заключает в	2	8
28	о том	4	8
29	но в	11	8
30	это не	3	7
31	в нем	7	7
32	что и	2	7
33	могут быть	3	7
34	как в	8	7
35	мысль о	3	6
36	в ряду	2	6
37	вместе с	2	6
38	так и	9	6
39	для него	5	5
40	в его	3	5
41	как бы	4	5
42	этом случае	2	5
43	что же	2	5
44	все это	2	5
45	не менее	7	5
46	должно быть	2	5
47	а в	2	5
48	говорить о	2	5
49	и то	4	5
50	есть в	2	5
51	и все	3	4
52	что он	2	4
53	тогда как	11	4
54	можно сказать	3	4
55	и может	3	4
56	со своим	2	4
57	в одном	4	4
58	в котором	3	4
59	в той	2	4
60	тем самым	6	4
61	что как	2	4
62	точки зрения	4	4
63	в данном	7	4
64	в то	5	4
65	его в	3	4
66	мы имеем	2	4
67	и с	2	4
68	никогда не	2	3
69	в этих	3	3
70	и состоит	2	3
71	в них	3	3
72	там же	2	3
73	именно в	2	3
74	но это	3	3
75	же время	5	3
76	еще не	6	3
77	было в	3	3
78	например в	3	3
79	но уже	2	3
80	со стороны	10	3
81	той же	2	3
82	все эти	3	3
83	уже не	3	3
84	слова не	2	3
85	более чем	2	3
86	ведет к	3	3
87	и на	5	3
88	их в	2	3
89	с точки	2	3
90	тому как	2	2
91	состоит в	16	2
92	что будет	2	2
93	и как	3	2
94	столь же	3	2
95	с другой	5	2
96	из этих	3	2
97	отношение к	2	2
98	что на	2	2
99	в большинстве	2	2
100	отношения между	2	2
101	не нужно	2	2
102	в ней	2	2
103	он не	3	2
104	не с	2	2
105	и это	2	2
106	в мире	11	2
107	этом в	2	2
108	проявляется в	3	2
109	можно назвать	4	2
110	данном случае	6	2
111	и прежде	2	2
112	стремится к	2	2
113	и для	2	2
114	человека в	4	2
115	и его	3	2
116	в своих	6	2
117	не следует	3	2
118	может иметь	2	2
119	из виду	3	2
120	подобно тому	2	2
121	к его	4	2
122	я в	5	2
123	общих чертах	2	2
124	одном из	3	2
125	в области	2	2
126	ни к	5	2
