N	2gram	Propp_Morf_1	Myslijsy
1	потому что	3	33
2	то что	8	29
3	может быть	52	26
4	таким образом	21	24
5	в том	6	23
6	и в	13	23
7	в этом	14	23
8	и не	12	18
9	что в	8	17
10	только в	2	15
11	для нас	2	14
12	как и	3	14
13	то же	7	14
14	того что	3	14
15	так как	16	14
16	если бы	2	13
17	том что	4	12
18	а не	11	12
19	но и	4	11
20	не в	3	11
21	не может	14	11
22	что мы	2	10
23	по отношению	4	10
24	не только	4	10
25	тем что	4	10
26	мы можем	2	10
27	между тем	5	9
28	было бы	3	8
29	то это	3	8
30	отношению к	4	8
31	мы не	8	8
32	сказать что	2	8
33	о том	2	8
34	но в	2	8
35	с тем	2	7
36	это не	6	7
37	на то	2	7
38	что и	7	7
39	и что	2	7
40	вовсе не	4	7
41	и т	41	7
42	могут быть	16	7
43	как в	3	7
44	с этим	11	7
45	что такое	3	7
46	независимо от	3	6
47	и к	4	6
48	в лес	7	6
49	для того	2	6
50	того как	2	6
51	тем и	2	6
52	заметить что	8	6
53	в которой	3	6
54	так и	6	6
55	хотя и	3	5
56	как бы	3	5
57	к нему	3	5
58	этом случае	8	5
59	что же	2	5
60	есть нечто	3	5
61	не менее	5	5
62	а в	7	5
63	во всяком	2	5
64	говорить о	3	5
65	не имеет	2	5
66	на вопрос	2	4
67	что он	4	4
68	тем не	5	4
69	как же	2	4
70	тогда как	2	4
71	на котором	3	4
72	можно сказать	2	4
73	но есть	3	4
74	от того	3	4
75	и тем	2	4
76	того чтобы	3	4
77	хотя бы	4	4
78	так же	3	4
79	между собою	2	4
80	точки зрения	2	4
81	в каком	2	4
82	в то	3	4
83	быть названо	3	4
84	если же	5	4
85	его в	2	4
86	мы имеем	9	4
87	при помощи	9	3
88	и есть	2	3
89	связи с	10	3
90	в этих	13	3
91	так называемых	2	3
92	не всегда	9	3
93	но это	6	3
94	еще не	3	3
95	не от	2	3
96	к тому	4	3
97	например в	2	3
98	на его	4	3
99	всяком случае	2	3
100	и другим	3	3
101	и их	2	3
102	со стороны	3	3
103	только что	2	3
104	и таким	2	3
105	образом мы	5	3
106	т д	39	3
107	все эти	2	3
108	на самом	4	3
109	уже не	2	3
110	заметим что	2	3
111	самом деле	4	3
112	и по	2	3
113	этот вопрос	2	3
114	в которых	2	3
115	то в	3	3
116	то мы	4	3
117	ту же	2	3
118	с точки	2	3
119	что эти	2	3
120	в первом	3	3
121	там где	5	3
122	не существует	3	2
123	тому как	5	2
124	во время	6	2
125	не могут	4	2
126	состоит в	2	2
127	и как	5	2
128	в нашем	3	2
129	тому что	4	2
130	с другой	8	2
131	оно не	2	2
132	в образе	4	2
133	вопрос что	2	2
134	вопрос о	7	2
135	в различных	2	2
136	и здесь	5	2
137	на той	2	2
138	у нас	2	2
139	об этом	4	2
140	по своему	2	2
141	в большинстве	3	2
142	есть и	4	2
143	она не	2	2
144	можно сравнить	2	2
145	в сущности	3	2
146	он не	3	2
147	не значит	2	2
148	этих случаях	11	2
149	никто не	3	2
150	и др	10	2
151	один из	5	2
152	не с	2	2
153	можно назвать	3	2
154	что она	2	2
155	даже не	3	2
156	мы видим	13	2
157	и для	2	2
158	если мы	5	2
159	относятся к	2	2
160	дело не	2	2
161	что его	2	2
162	требует чтобы	3	2
163	как мы	6	2
164	здесь мы	3	2
165	самых разнообразных	2	2
166	из которых	3	2
167	друг друга	3	2
168	в других	3	2
169	можно было	2	2
170	в отдельных	3	2
171	в виде	2	2
172	подобно тому	6	2
173	мы должны	3	2
174	но мы	3	2
175	в таких	2	2
176	большинстве случаев	3	2
177	быть и	2	2
178	а если	4	2
179	бы они	2	2
180	например с	2	2
181	это было	3	2
182	ни к	2	2
