N	2gram	Tiupa_Anal_2	Tragedij
1	и в	16	18
2	в этом	18	9
3	не только	16	8
4	и не	12	7
5	и на	6	7
6	может быть	6	7
7	как бы	10	7
8	и его	4	6
9	же время	2	6
10	у него	4	6
11	но в	6	6
12	так и	15	5
13	не может	4	5
14	то же	4	5
15	как и	14	5
16	в то	2	5
17	несмотря на	3	5
18	но и	12	4
19	то что	7	4
20	в целом	8	4
21	что в	2	4
22	все это	4	4
23	прежде всего	3	4
24	и все	3	4
25	и даже	9	4
26	так же	2	4
27	том что	12	4
28	в этой	9	4
29	в себе	7	4
30	еще не	2	4
31	один из	2	3
32	с ее	2	3
33	о чем	2	3
34	отнюдь не	8	3
35	в своем	4	3
36	в конце	4	3
37	как в	4	3
38	в поле	4	3
39	тем самым	4	3
40	и он	2	3
41	в его	2	3
42	что с	2	3
43	для него	4	3
44	при этом	10	3
45	и сам	3	3
46	своего рода	12	3
47	как будто	3	3
48	в мире	6	3
49	как это	6	3
50	с ним	2	3
51	то есть	9	3
52	еще в	2	2
53	не имеет	2	2
54	и до	2	2
55	не был	3	2
56	что и	3	2
57	как говорит	2	2
58	в частности	16	2
59	и за	3	2
60	в отличие	2	2
61	данном случае	5	2
62	что все	2	2
63	и я	2	2
64	а как	2	2
65	из своих	2	2
66	но эта	2	2
67	уже не	4	2
68	к тому	7	2
69	столь же	4	2
70	о его	4	2
71	времени в	4	2
72	не так	4	2
73	в ходе	4	2
74	он был	2	2
75	в том	12	2
76	говорит о	5	2
77	отличие от	2	2
78	так что	3	2
79	в таком	2	2
80	не в	4	2
81	в данном	8	2
82	и то	3	2
83	не случайно	8	2
84	тем что	3	2
85	личности и	2	2
86	он и	2	2
87	по поводу	3	2
88	жизнью и	2	2
89	о том	7	2
90	его в	2	2
91	в самом	6	2
92	о жизни	2	2
93	не мог	3	2
94	ничего не	9	2
95	он не	2	2
96	в одном	2	2
97	что она	2	2
98	никогда не	3	2
