N	2gram	Trubetskoy_1	DiskursI
1	в качестве	3	34
2	не только	9	28
3	в том	17	23
4	а не	2	22
5	том что	9	19
6	тогда как	2	19
7	может быть	9	17
8	и в	14	16
9	как и	4	16
10	в этом	17	15
11	еще не	3	14
12	но и	10	14
13	при этом	5	13
14	прежде всего	8	11
15	но не	4	11
16	и не	19	11
17	в частности	2	9
18	состоит в	2	9
19	в нем	5	9
20	по отношению	2	9
21	не может	22	9
22	отнюдь не	7	8
23	о том	7	8
24	но в	2	8
25	в его	4	7
26	со стороны	4	7
27	то же	11	7
28	не было	3	7
29	в себе	9	7
30	только в	5	7
31	не в	4	7
32	в своем	6	6
33	и как	3	6
34	ни к	7	6
35	к тому	7	5
36	или иной	5	5
37	в силу	2	5
38	как бы	4	5
39	в котором	2	5
40	в своей	5	5
41	то что	13	5
42	во всех	5	5
43	а с	2	5
44	а в	5	5
45	в их	4	5
46	сводится к	3	5
47	и на	5	5
48	в данном	7	5
49	что в	4	4
50	для себя	2	4
51	и к	6	4
52	что он	6	4
53	уже не	2	4
54	для него	6	4
55	же время	10	4
56	одной из	3	4
57	связи с	3	4
58	и о	2	4
59	лишь в	3	4
60	потому что	5	4
61	между тем	5	4
62	и т.д	4	4
63	по себе	2	3
64	что и	3	3
65	с этим	2	3
66	в самом	3	3
67	той или	3	3
68	хотя бы	5	3
69	все же	4	3
70	из них	3	3
71	таким образом	11	3
72	именно в	3	3
73	того что	3	3
74	и даже	2	3
75	принадлежат к	2	3
76	в своих	6	3
77	тем что	3	3
78	точки зрения	11	3
79	к той	2	3
80	в то	10	3
81	и потому	3	3
82	зависит от	2	2
83	и есть	2	2
84	никогда не	5	2
85	о котором	3	2
86	между собой	5	2
87	к себе	2	2
88	и во	3	2
89	это в	2	2
90	к такому	2	2
91	в значительной	3	2
92	к данному	2	2
93	более или	4	2
94	указывает на	2	2
95	отличается от	2	2
96	что с	2	2
97	в начале	2	2
98	и тем	2	2
99	не есть	3	2
100	того или	2	2
101	себя в	4	2
102	на том	3	2
103	или менее	4	2
104	что же	4	2
105	данном случае	3	2
106	приводит к	4	2
107	целый ряд	2	2
108	жизни в	5	2
109	отношения к	2	2
110	и что	2	2
111	том чтобы	3	2
112	и по	3	2
113	или в	3	2
114	во всяком	9	2
115	на себя	2	2
116	в другом	3	2
117	в этой	4	2
