N	2gram	Vygotskiy__2	Problemy
1	и в	32	35
2	как бы	6	31
3	и не	10	27
4	что он	13	24
5	в его	2	21
6	но в	3	19
7	не может	17	18
8	как и	10	18
9	в нем	4	16
10	то есть	21	16
11	то же	13	15
12	и все	4	15
13	но и	10	14
14	может быть	18	14
15	все это	5	14
16	в сущности	7	14
17	и его	7	14
18	в этом	13	14
19	к нему	2	13
20	он не	6	13
21	и с	4	12
22	и к	3	12
23	в то	5	11
24	а я	2	10
25	не в	8	10
26	самом деле	16	10
27	же время	2	10
28	не только	12	10
29	то что	21	10
30	в отношении	3	9
31	на самом	5	9
32	так и	3	8
33	потому что	21	8
34	все же	4	8
35	и для	4	8
36	и сам	4	7
37	так же	18	7
38	а в	4	7
39	точки зрения	17	7
40	с его	2	7
41	вовсе не	2	7
42	еще не	2	7
43	себе и	2	7
44	что же	3	7
45	отношении к	3	7
46	там где	2	7
47	таким образом	21	7
48	слова в	2	6
49	что в	20	6
50	в каждом	2	6
51	к тому	7	6
52	но это	2	6
53	что они	7	6
54	и что	22	6
55	отношение к	2	6
56	в самом	12	6
57	что у	5	6
58	и на	5	6
59	он с	2	6
60	в одном	2	6
61	но не	2	6
62	только в	7	6
63	в конце	3	5
64	в том	37	5
65	так что	3	5
66	в глаза	2	5
67	как к	3	5
68	и даже	5	5
69	когда я	2	5
70	его с	2	5
71	на него	2	5
72	как в	9	5
73	к своему	2	5
74	и то	3	5
75	в себе	2	5
76	и это	4	5
77	все время	6	4
78	никогда не	9	4
79	с другой	3	4
80	та же	3	4
81	до конца	3	4
82	на его	2	4
83	всяком случае	2	4
84	и вот	3	4
85	между тем	4	4
86	говорит он	4	4
87	и так	3	4
88	но он	3	4
89	но как	3	4
90	так как	12	4
91	как раз	5	4
92	в них	2	4
93	по себе	12	4
94	во всем	3	4
95	по своему	3	4
96	тот же	6	4
97	в своей	3	4
98	только на	5	4
99	а не	7	4
100	что не	3	4
101	и у	2	4
102	и без	2	4
103	во всяком	2	4
104	тем что	9	4
105	он в	3	4
106	как будто	7	4
107	что это	8	4
108	в творчестве	4	4
109	в чем	4	4
110	то ни	2	3
111	но так	2	3
112	и от	2	3
113	и говорит	2	3
114	такой же	7	3
115	в общем	3	3
116	в него	2	3
117	в виду	3	3
118	с ее	3	3
119	бы то	2	3
120	в целом	4	3
121	из них	4	3
122	другой стороны	2	3
123	все эти	7	3
124	к одному	4	3
125	но только	4	3
126	того что	8	3
127	это не	2	3
128	сказать что	7	3
129	это знает	2	3
130	мы должны	3	3
131	с тем	11	3
132	не как	3	3
133	с этим	4	3
134	в ее	2	3
135	том что	21	3
136	было бы	11	3
137	во всех	3	3
138	конце концов	3	3
139	что и	17	3
140	когда он	10	3
141	а с	2	3
142	сводится к	2	3
143	ничего не	4	3
144	не менее	8	2
145	на вопрос	2	2
146	в этих	2	2
147	другого как	2	2
148	тому что	4	2
149	для этого	3	2
150	столь же	4	2
151	с этой	4	2
152	он все	3	2
153	что все	9	2
154	именно потому	2	2
155	это в	2	2
156	что на	4	2
157	мы знаем	7	2
158	ни в	2	2
159	что его	5	2
160	такое же	2	2
161	на этом	3	2
162	но что	2	2
163	всю жизнь	2	2
164	что с	3	2
165	при этом	13	2
166	например в	3	2
167	время как	3	2
168	понятно что	2	2
169	что оно	2	2
170	те же	6	2
171	но эта	2	2
172	и по	4	2
173	есть только	5	2
174	увидим что	2	2
175	тому как	3	2
176	каждый из	2	2
177	в которых	3	2
178	их в	2	2
179	в ней	5	2
180	ни на	3	2
181	о том	6	2
182	как он	2	2
183	в произведении	4	2
184	он дает	2	2
185	и другого	3	2
186	в жизни	4	2
187	этих двух	2	2
188	материал для	4	2
189	ли это	2	2
190	когда она	4	2
191	бы с	2	2
192	как можно	2	2
193	с таким	8	2
194	и этот	2	2
195	вместе с	2	2
196	бы и	3	2
197	говорит о	2	2
198	так в	2	2
199	показать что	5	2
200	бы не	2	2
201	жизнь и	3	2
202	на этот	2	2
203	и он	3	2
204	и как	7	2
205	с каким-то	2	2
206	хотя бы	3	2
207	с точки	10	2
208	в которой	2	2
209	той же	8	2
210	можно было	7	2
211	с другими	2	2
212	мы можем	3	2
213	сам по	4	2
214	из их	2	2
215	то все	2	2
216	подобно тому	2	2
217	и вообще	2	2
218	из этого	4	2
219	отличие от	2	2
220	это было	3	2
