N	3gram	Vinokur_St_1	KulturaY
1	и т п	9	41
2	с точки зрения	8	16
3	в самом деле	5	11
4	для того чтобы	10	11
5	можно было бы	8	10
6	тем не менее	2	9
7	в том что	17	8
8	и т д	21	8
9	до сих пор	7	8
10	в данном случае	6	4
11	и в самом	3	4
12	и в этом	3	4
13	с одной стороны	2	4
14	в этом случае	2	4
15	и в области	4	3
16	с другой стороны	6	3
17	т п в	3	3
18	так и в	4	3
19	не только в	4	3
20	не может быть	5	3
21	того или иного	4	3
22	то обстоятельство что	2	3
23	на самом деле	6	3
24	о том что	11	3
25	в первую очередь	2	3
26	в том числе	2	2
27	тем более что	2	2
28	в своей статье	4	2
29	но если это	2	2
30	то или иное	3	2
31	только в том	3	2
32	на точку зрения	2	2
33	не в том	2	2
34	в свое время	2	2
35	дело не в	2	2
36	одним и тем	2	2
37	и тем же	2	2
38	по отношению к	3	2
39	что и в	4	2
