N	2gram	Berdyaev_O_1	UchenyiS
1	и в	19	14
2	а не	11	10
3	не только	11	10
4	и не	13	8
5	прежде всего	9	8
6	то что	5	7
7	в этом	12	7
8	не может	4	7
9	может быть	11	6
10	хотя бы	3	5
11	все это	6	5
12	но и	13	4
13	в этой	5	4
14	в россии	5	4
15	но в	2	3
16	как и	6	3
17	и то	2	3
18	все же	2	3
19	в своей	2	3
20	для него	5	3
21	это не	3	3
22	было бы	3	3
23	том что	2	2
24	в том	5	2
25	не все	2	2
26	с его	4	2
27	не есть	2	2
28	не в	11	2
29	и для	2	2
30	и с	2	2
31	тем что	2	2
32	могут быть	3	2
33	даже и	2	2
34	что он	3	2
35	в себе	3	2
36	что все	2	2
37	в самом	5	2
38	художественном творчестве	2	2
39	не могут	3	2
40	по себе	2	2
41	ничего не	2	2
42	что и	2	2
43	в его	7	2
44	это было	3	2
