N	2gram	Medvedev_U_1	Otkroven
1	и в	14	19
2	но и	4	13
3	и не	8	13
4	в этом	7	12
5	а не	10	11
6	не в	2	11
7	может быть	6	11
8	не только	10	11
9	прежде всего	8	9
10	в его	2	7
11	все это	5	6
12	как и	3	6
13	то что	7	5
14	в том	2	5
15	для него	3	5
16	в этой	4	5
17	в самом	2	5
18	в россии	4	5
19	с его	2	4
20	не может	7	4
21	не могут	2	3
22	это не	3	3
23	что он	2	3
24	хотя бы	5	3
25	могут быть	2	3
26	в себе	2	3
27	было бы	3	3
28	это было	2	3
29	все же	3	2
30	что и	2	2
31	не есть	2	2
32	и для	2	2
33	не все	2	2
34	что все	2	2
35	по себе	2	2
36	том что	2	2
37	и то	3	2
38	и с	2	2
39	тем что	2	2
40	даже и	2	2
41	художественном творчестве	2	2
42	в своей	3	2
43	ничего не	2	2
44	но в	3	2
