N	2gram	Berdyaev_N_1	VelikijI
1	во имя	15	32
2	и не	11	20
3	и в	16	16
4	свободы и	2	12
5	то что	4	9
6	еще не	3	8
7	от бога	6	8
8	в истории	3	8
9	к богу	2	8
10	и потому	4	7
11	а не	17	7
12	человека и	3	6
13	не есть	3	6
14	бога и	3	5
15	в мире	3	5
16	хотя и	2	5
17	но и	3	5
18	все это	5	5
19	и есть	10	4
20	что все	2	4
21	в нем	5	4
22	как и	7	4
23	так и	2	4
24	потому что	4	4
25	в этом	7	4
26	в ней	5	4
27	и все	4	4
28	с его	6	3
29	всемирной истории	2	3
30	должна быть	3	3
31	что в	9	3
32	в них	4	3
33	в жизни	5	3
34	ни в	6	3
35	в том	8	3
36	к вечности	2	3
37	не в	6	3
38	но это	6	3
39	и мы	4	3
40	к тому	3	3
41	имя свободы	3	3
42	во всех	3	3
43	никогда не	6	3
44	свободы от	2	3
45	жизни и	8	3
46	как не	8	3
47	в своей	3	3
48	не было	4	3
49	лишь в	6	3
50	и что	2	3
51	не имеет	4	3
52	хотя бы	2	3
53	и для	4	3
54	должно быть	4	3
55	все эти	2	3
56	но в	2	3
57	с тем	3	2
58	божественной жизни	2	2
59	это не	4	2
60	в прошлом	3	2
61	в духе	3	2
62	прежде всего	4	2
63	том что	2	2
64	одна из	2	2
65	но не	2	2
66	не к	2	2
67	конечно не	3	2
68	того чтобы	2	2
69	люди не	2	2
70	не только	5	2
71	нет и	2	2
72	не могли	2	2
73	не будет	7	2
74	нем нет	2	2
75	будет уже	2	2
76	истории и	9	2
77	жизни все	2	2
78	мы не	2	2
79	уже не	2	2
80	вот почему	2	2
81	а в	2	2
82	можно было	2	2
83	духа и	3	2
84	государства и	4	2
85	могут быть	2	2
86	мир и	2	2
87	и это	2	2
