N	2gram	Nazirov_Tr_1	Vladivir
1	и в	18	40
2	то что	4	28
3	и не	7	25
4	не только	8	25
5	то есть	3	24
6	у него	6	24
7	но и	4	18
8	в том	2	18
9	том что	4	18
10	что в	4	17
11	в этом	9	16
12	так что	2	14
13	в его	3	14
14	не может	5	14
15	в виде	2	13
16	в конце	3	12
17	никогда не	2	11
18	потому что	2	11
19	о том	2	11
20	прежде всего	4	10
21	ни в	2	10
22	не просто	2	10
23	в году	9	10
24	и его	6	10
25	что это	5	9
26	уже не	2	9
27	и с	7	9
28	и то	2	9
29	в себе	4	9
30	не был	2	8
31	в своем	3	8
32	в этой	4	8
33	для него	3	8
34	может быть	7	8
35	так же	4	8
36	и что	4	8
37	раз и	2	8
38	он не	2	8
39	что все	2	7
40	к тому	2	7
41	и как	3	7
42	несмотря на	5	7
43	с тем	2	7
44	в то	5	7
45	что и	2	7
46	как и	5	7
47	и здесь	2	6
48	и даже	4	6
49	не мог	2	6
50	и на	7	6
51	об этом	4	6
52	так и	5	6
53	но это	4	6
54	и это	2	6
55	должно быть	3	5
56	все эти	3	5
57	тут же	2	5
58	отнюдь не	3	5
59	в одном	2	5
60	что он	6	5
61	еще в	2	5
62	в данном	2	5
63	тем что	2	5
64	ничего не	2	5
65	точно так	2	4
66	вопрос о	2	4
67	в дальнейшем	5	4
68	в глаза	2	4
69	до конца	2	4
70	мог бы	3	4
71	в самом	2	4
72	не имеет	2	4
73	бы и	2	4
74	как это	3	4
75	и все	4	4
76	еще не	4	4
77	в основном	3	4
78	говорит о	2	4
79	то же	5	4
80	все же	5	4
81	но в	6	4
82	по мнению	2	4
83	перед нами	2	3
84	уже в	3	3
85	я не	4	3
86	это не	5	3
87	только о	2	3
88	но все	2	3
89	при этом	3	3
90	как бы	7	3
91	в нем	4	3
92	к нему	3	3
93	году в	2	3
94	не так	2	3
95	в отличие	2	3
96	не в	2	3
97	в таком	2	3
98	жизнь и	3	3
99	что этот	2	3
100	отличие от	2	3
101	он сам	7	2
102	не могут	2	2
103	она должна	2	2
104	он был	2	2
105	же время	6	2
106	в целом	4	2
107	и за	2	2
108	что она	2	2
109	который в	2	2
110	то и	2	2
111	друг друга	2	2
112	он всегда	4	2
113	его в	2	2
114	с его	2	2
115	еще раз	2	2
116	бросается в	2	2
117	в это	2	2
118	только к	2	2
119	как говорит	2	2
120	в мире	3	2
121	данном случае	2	2
122	тем самым	3	2
