N	2gram	Savitsky_P_1	Vvedenie
1	и т	3	42
2	т е	3	35
3	и в	14	32
4	в том	9	31
5	в этом	10	30
6	может быть	5	26
7	том что	4	26
8	не только	17	22
9	для того	3	21
10	то что	4	16
11	потому что	3	15
12	но также	4	14
13	не может	4	14
14	в нем	3	13
15	со стороны	2	13
16	того что	2	12
17	в общем	2	12
18	и не	12	12
19	как на	2	12
20	в его	2	12
21	только в	7	12
22	в ее	2	11
23	что в	4	10
24	но в	9	9
25	и как	3	9
26	между тем	3	9
27	по себе	4	9
28	то же	9	9
29	не менее	2	8
30	с другой	5	8
31	это не	3	8
32	не в	5	8
33	именно в	2	8
34	прежде всего	3	7
35	точки зрения	3	7
36	но не	3	7
37	было бы	6	7
38	же время	7	6
39	но и	6	6
40	все это	2	6
41	в то	7	6
42	с тем	3	6
43	в качестве	9	6
44	хотя бы	8	6
45	и это	2	6
46	она есть	3	5
47	как бы	4	5
48	и тем	2	5
49	в которых	5	5
50	в них	2	5
51	а не	2	5
52	могут быть	3	5
53	одной стороны	3	4
54	в котором	4	4
55	с одной	3	4
56	а в	4	4
57	взгляда на	2	4
58	по сравнению	2	4
59	как раз	2	4
60	в виде	2	4
61	в себе	3	4
62	и есть	2	3
63	в частности	2	3
64	да и	2	3
65	хотя и	3	3
66	в ней	6	3
67	именно как	2	3
68	из них	2	3
69	в своем	4	3
70	и других	2	3
71	и вот	2	3
72	заключается в	3	3
73	культуры в	2	3
74	говорить о	2	3
75	в начале	2	3
76	если бы	4	3
77	стороны и	2	3
78	и к	4	3
79	а также	4	3
80	в области	11	3
81	в отношении	10	2
82	не нужно	2	2
83	большей степени	4	2
84	значительной мере	2	2
85	не к	2	2
86	не было	2	2
87	должно быть	2	2
88	не столько	2	2
89	и с	2	2
90	с этим	2	2
91	д а	3	2
92	для них	2	2
93	есть не	2	2
94	тем более	2	2
95	во всех	2	2
96	что мы	3	2
97	мы должны	4	2
98	так называемые	2	2
99	в значительной	2	2
100	с точки	3	2
101	мы не	3	2
102	которое в	2	2
103	в силу	2	2
104	время в	2	2
105	в сопоставлении	2	2
106	одна из	2	2
