N	2gram	Berdyaev_O_1	Myshleni
1	в этом	12	29
2	и в	19	26
3	не только	11	24
4	то что	5	24
5	того чтобы	4	19
6	в том	5	18
7	и не	13	18
8	для того	3	18
9	том что	2	17
10	потому что	9	16
11	как и	6	15
12	того что	3	14
13	так как	2	14
14	что в	4	12
15	и его	4	12
16	в которой	2	11
17	но и	13	11
18	мысли и	3	11
19	не может	4	11
20	что они	2	10
21	в самом	5	9
22	тем что	2	9
23	в себе	3	9
24	сказать что	2	8
25	что он	3	8
26	ее в	2	8
27	прежде всего	9	7
28	может быть	11	7
29	о природе	3	7
30	и к	2	7
31	и то	2	7
32	вопрос о	10	6
33	как бы	3	6
34	в ее	2	6
35	все что	3	6
36	было бы	3	6
37	все эти	4	6
38	все же	2	6
39	а не	11	6
40	до конца	7	5
41	и с	2	5
42	одно из	2	5
43	с тем	2	5
44	и для	2	5
45	не могут	3	4
46	никогда не	9	4
47	что у	2	4
48	и от	3	4
49	так что	2	4
50	в его	7	4
51	о том	3	4
52	но в	2	4
53	чем в	2	4
54	еще не	3	4
55	не есть	2	4
56	не в	11	4
57	учение о	2	3
58	все это	6	3
59	это не	3	3
60	момент в	2	3
61	для него	5	3
62	как к	2	3
63	только и	4	3
64	в самой	9	3
65	он не	7	3
66	с ним	3	3
67	по себе	2	3
68	о его	5	3
69	и о	2	3
70	и потому	2	3
71	в этот	2	3
72	что и	2	3
73	в своей	2	3
74	так и	2	3
75	к нему	3	3
76	в этой	5	3
77	уже в	2	2
78	можно ли	2	2
79	в этих	3	2
80	никто не	3	2
81	что все	2	2
82	в нем	10	2
83	отношение к	5	2
84	только одно	3	2
85	и против	2	2
86	всего в	2	2
87	лишь в	7	2
88	не имеет	2	2
89	должно быть	2	2
90	а в	5	2
91	что для	2	2
92	в своих	3	2
93	но он	7	2
94	и есть	3	2
95	его в	2	2
96	к этой	2	2
97	о человеке	29	2
98	к этому	2	2
99	ведь это	2	2
100	к ней	2	2
101	его мысли	4	2
102	что же	2	2
103	что не	4	2
104	ко всем	2	2
105	и он	8	2
106	могут быть	3	2
107	и ее	3	2
108	ничего не	2	2
