N	2gram	Propp_Russ_1	StatiiOP
1	в и	17	130
2	и в	36	44
3	в том	17	36
4	и т	10	30
5	что в	19	30
6	том что	19	29
7	т д	9	21
8	в этом	12	21
9	то что	6	18
10	не только	22	18
11	а в	9	17
12	о том	8	17
13	и не	6	16
14	а не	2	16
15	т е	17	15
16	может быть	8	15
17	в области	3	14
18	как в	5	13
19	у нас	8	11
20	точки зрения	3	11
21	но и	16	10
22	но в	2	10
23	только в	4	10
24	как и	10	9
25	того что	4	9
26	так и	7	9
27	в его	2	9
28	например в	2	8
29	во всех	4	8
30	все же	5	8
31	из них	8	8
32	не может	4	8
33	это не	10	8
34	с точки	3	8
35	так например	6	7
36	для нас	6	7
37	таким образом	6	7
38	что они	7	7
39	потому что	10	6
40	из этих	4	6
41	так что	2	6
42	но это	4	6
43	что и	7	6
44	на самом	2	6
45	не менее	3	5
46	такой же	2	5
47	так же	3	5
48	вплоть до	4	5
49	в нем	2	5
50	в целом	2	5
51	xix в	13	5
52	все это	6	5
53	то же	3	5
54	и по	8	5
55	в которых	5	5
56	тем что	4	5
57	могут быть	2	5
58	г в	4	5
59	все эти	2	5
60	так как	15	5
61	там где	2	5
62	что это	3	4
63	в частности	2	4
64	что она	2	4
65	представление о	3	4
66	но все	3	4
67	должна была	2	4
68	и что	4	4
69	в качестве	3	4
70	как бы	5	4
71	в россии	4	4
72	не было	2	4
73	что у	2	4
74	не имеет	6	4
75	этот вопрос	2	4
76	как будто	5	4
77	как это	8	4
78	а с	4	3
79	во время	14	3
80	по этому	3	3
81	тому что	4	3
82	в какой	2	3
83	и с	2	3
84	в каждом	2	3
85	в тех	4	3
86	он был	2	3
87	в г	4	3
88	об этом	9	3
89	чем в	2	3
90	но не	2	3
91	еще не	4	3
92	п в	13	3
93	своего рода	3	3
94	и для	2	3
95	в ней	2	3
96	не значит	2	3
97	ничего общего	2	3
98	в виде	6	3
99	на этот	3	3
100	значит что	2	3
101	видно что	6	3
102	связанные с	3	3
103	будто бы	6	3
104	во многих	5	3
105	между тем	7	3
106	с этим	2	3
107	что от	2	2
108	всех этих	2	2
109	в этих	3	2
110	области изучения	2	2
111	в своем	3	2
112	иногда и	5	2
113	что на	4	2
114	этом случае	5	2
115	по существу	4	2
116	и более	2	2
117	в москве	3	2
118	при этом	6	2
119	быть и	2	2
120	чем у	2	2
121	она не	2	2
122	несмотря на	3	2
123	между прочим	2	2
124	должно было	2	2
125	и потому	2	2
126	а также	3	2
127	этого слова	3	2
128	если в	3	2
129	как можно	2	2
130	так называемой	3	2
131	тем не	3	2
132	только у	2	2
133	судя по	2	2
134	разница между	2	2
135	также в	3	2
136	и их	4	2
137	этой работы	2	2
138	и и	2	2
139	для этого	2	2
140	начиная с	3	2
141	и у	5	2
142	многих случаях	2	2
143	в других	11	2
144	и те	3	2
145	мы не	6	2
146	ничего не	3	2
147	что этот	4	2
148	в своих	2	2
149	думать что	3	2
150	а иногда	4	2
151	их в	3	2
152	у него	2	2
153	одно из	5	2
154	этому поводу	2	2
155	как правило	3	2
156	далее в	2	2
157	в равной	2	2
158	мы имеем	4	2
159	то есть	3	2
160	е в	8	2
161	в числе	2	2
