N	2gram	Vinokur_St_1	Marksizm
1	может быть	15	28
2	и в	44	19
3	как бы	4	19
4	и не	16	19
5	не может	8	18
6	точки зрения	11	17
7	то же	5	16
8	и его	8	16
9	языка и	4	15
10	в этом	21	15
11	таким образом	7	14
12	лишь в	3	14
13	в сущности	2	14
14	не только	18	13
15	с точки	8	13
16	в нем	5	11
17	если бы	9	11
18	вовсе не	19	11
19	не в	12	10
20	но и	10	10
21	том что	29	10
22	так и	9	10
23	для него	6	9
24	при этом	2	9
25	в основе	3	9
26	как и	9	9
27	самом деле	11	9
28	а не	16	9
29	же время	4	8
30	не является	3	8
31	по отношению	3	8
32	в то	9	8
33	отношению к	3	8
34	только в	10	8
35	никогда не	5	7
36	в том	36	7
37	его в	2	7
38	но в	10	7
39	и более	2	7
40	прежде всего	7	7
41	на самом	6	7
42	и для	3	7
43	в таком	3	7
44	ни в	3	6
45	того чтобы	11	6
46	в самом	7	6
47	и все	2	6
48	между тем	3	6
49	во всех	8	6
50	быть и	2	6
51	для того	10	6
52	хотя бы	6	6
53	является не	4	5
54	к нему	2	5
55	так же	5	5
56	того же	3	5
57	совершенно не	5	5
58	в его	9	5
59	этого слова	2	5
60	все же	8	5
61	в той	6	5
62	в данном	14	5
63	тем более	4	5
64	должна быть	3	4
65	тому что	3	4
66	в отношении	9	4
67	это не	8	4
68	на то	4	4
69	то что	18	4
70	и тем	3	4
71	и их	2	4
72	ведь если	2	4
73	того что	9	4
74	сказать что	7	4
75	а как	2	4
76	как раз	4	4
77	смысле этого	2	4
78	что он	10	4
79	было бы	17	4
80	в данной	2	4
81	конечно не	2	4
82	для себя	3	4
83	тем же	3	4
84	в слове	5	4
85	в себе	2	4
86	ничего не	2	4
87	не существует	3	3
88	в этих	2	3
89	в какой	3	3
90	столь же	4	3
91	с другой	9	3
92	в двух	3	3
93	да и	3	3
94	в этой	11	3
95	одной стороны	2	3
96	в ней	3	3
97	за пределы	2	3
98	в котором	5	3
99	в каком	3	3
100	а в	17	3
101	с этим	3	3
102	с одной	3	3
103	что оно	3	3
104	все эти	5	3
105	в другом	3	3
106	не имеет	4	3
107	а иногда	2	3
108	не было	4	3
109	в истории	3	3
110	но ведь	8	3
111	о том	17	3
112	так как	5	3
113	иногда и	2	3
114	в ее	4	3
115	у нас	11	3
116	в качестве	4	3
117	до сих	7	3
118	еще не	3	3
119	он не	2	3
120	что и	6	3
121	в своей	6	3
122	в чужую	3	3
123	той же	5	3
124	и то	5	3
125	языка не	2	3
126	во всяком	6	3
127	могут быть	5	3
128	и это	2	3
129	сих пор	7	3
130	уже в	2	2
131	что в	30	2
132	что это	4	2
133	точку зрения	3	2
134	не знает	2	2
135	вопрос о	4	2
136	в тех	3	2
137	он был	3	2
138	что они	7	2
139	как о	2	2
140	с нашей	2	2
141	и у	2	2
142	всяком случае	6	2
143	одним и	2	2
144	жизни и	5	2
145	в своем	2	2
146	отношения к	2	2
147	именно в	6	2
148	и даже	5	2
149	конечно и	3	2
150	но для	2	2
151	и с	3	2
152	по крайней	2	2
153	даже и	2	2
154	допустим что	2	2
155	в начале	3	2
156	того или	4	2
157	то есть	2	2
158	от этого	2	2
159	однако и	2	2
160	у него	2	2
161	поэтому в	3	2
162	так называемой	2	2
163	или иного	4	2
164	но не	3	2
165	бы это	2	2
166	и потому	2	2
167	должен быть	3	2
168	крайней мере	2	2
169	и речи	2	2
170	и тогда	2	2
171	бы не	2	2
172	или же	2	2
173	а с	3	2
174	еще более	4	2
175	что не	3	2
176	должны быть	3	2
177	мы не	2	2
178	свидетельствует о	2	2
179	тем что	5	2
180	в виде	3	2
181	ответ на	3	2
182	там где	5	2
183	только с	2	2
