N	2gram	Losev_Vlad_2	Formalny
1	и не	18	30
2	вовсе не	4	28
3	и в	30	27
4	может быть	7	25
5	не может	9	24
6	так и	5	21
7	и его	6	19
8	таким образом	3	18
9	в этом	20	18
10	а не	7	17
11	точки зрения	7	16
12	в нем	4	15
13	то же	4	15
14	как и	5	14
15	с точки	3	14
16	не в	9	12
17	и от	2	11
18	в самом	2	11
19	но и	8	10
20	так как	5	9
21	не только	12	9
22	так же	4	9
23	что в	12	8
24	ни в	7	8
25	при этом	5	8
26	как бы	5	8
27	и все	7	8
28	то что	20	8
29	как мы	11	8
30	только в	6	8
31	не менее	7	7
32	в том	18	7
33	же время	3	7
34	все это	5	7
35	потому что	9	7
36	в то	9	7
37	его в	4	7
38	с тем	2	7
39	в его	11	7
40	всяком случае	6	6
41	все эти	5	6
42	в своих	2	6
43	но в	8	6
44	что он	13	6
45	было бы	9	6
46	все же	9	6
47	в своей	5	6
48	хотя бы	3	6
49	и для	3	6
50	в данном	3	6
51	во всяком	6	6
52	вместе с	8	6
53	никогда не	7	5
54	в дальнейшем	5	5
55	совсем не	4	5
56	того чтобы	2	5
57	друг друга	2	5
58	в ней	4	5
59	в результате	5	5
60	но не	3	5
61	и потому	2	5
62	что же	8	5
63	связи с	8	5
64	уже в	3	4
65	прежде всего	6	4
66	к тому	2	4
67	мы знаем	4	4
68	он был	6	4
69	да и	3	4
70	и как	3	4
71	можно говорить	3	4
72	до конца	7	4
73	для того	2	4
74	же и	2	4
75	мы видели	2	4
76	в целом	4	4
77	жизни и	6	4
78	данном случае	2	4
79	со стороны	4	4
80	в связи	8	4
81	о том	4	4
82	как это	7	4
83	тогда когда	2	4
84	по себе	5	4
85	не есть	4	4
86	том что	12	4
87	она не	2	4
88	конечно не	4	4
89	как в	3	4
90	мы не	2	4
91	из этого	5	4
92	что это	4	3
93	в этих	4	3
94	его и	2	3
95	это не	2	3
96	в конце	13	3
97	те же	3	3
98	можно сказать	4	3
99	для нас	7	3
100	того что	5	3
101	не о	2	3
102	в виду	2	3
103	той же	4	3
104	и что	5	3
105	и на	4	3
106	никак не	3	3
107	их в	2	3
108	сказать что	11	3
109	и с	14	3
110	а что	2	3
111	он и	3	3
112	к его	2	3
113	жизни в	2	3
114	в них	3	3
115	раз и	2	3
116	у нас	6	3
117	того же	5	3
118	мы уже	2	3
119	во всех	3	3
120	о нем	2	3
121	еще в	2	3
122	время в	4	3
123	в той	2	3
124	уже не	3	3
125	не на	2	3
126	в себе	6	3
127	в отношении	3	2
128	на все	2	2
129	всех этих	3	2
130	но это	4	2
131	в этой	4	2
132	на этом	2	2
133	в каких	2	2
134	в общем	2	2
135	и очень	2	2
136	в котором	5	2
137	учение о	3	2
138	нам кажется	3	2
139	в своем	8	2
140	отношения к	3	2
141	и даже	10	2
142	из этих	3	2
143	как он	2	2
144	в россии	3	2
145	конце концов	3	2
146	в чисто	2	2
147	с его	4	2
148	нисколько не	2	2
149	однако в	2	2
150	и во	2	2
151	к этому	6	2
152	нет никаких	2	2
153	и притом	2	2
154	а к	2	2
155	то в	5	2
156	то его	2	2
157	мы должны	4	2
158	кажется что	2	2
159	и из	2	2
160	в сущности	2	2
161	ни с	2	2
162	в основном	5	2
163	даже в	2	2
164	что и	3	2
165	тем не	6	2
166	но уже	2	2
167	ровно ничего	2	2
168	который был	2	2
169	жизни с	2	2
170	в отличие	3	2
171	на земле	2	2
172	россии и	2	2
173	в таком	3	2
174	это значит	2	2
175	правда в	2	2
176	и это	3	2
177	дело в	3	2
178	здесь не	4	2
179	отличие от	3	2
180	в области	3	2
181	ничего не	2	2
