N	3gram	Vinokur_St_2	Vvedenie
1	и т д	6	36
2	для того чтобы	5	20
3	о том что	11	12
4	в том что	16	12
5	тем не менее	2	8
6	в самом деле	2	6
7	до сих пор	5	6
8	мере в какой	2	5
9	той мере в	2	5
10	и т п	3	5
11	с другой стороны	3	5
12	в той мере	2	5
13	в этом отношении	9	4
14	и в этом	2	4
15	во всяком случае	3	4
16	с тем что	2	3
17	вместе с тем	5	3
18	вопрос о том	3	3
19	но все же	2	3
20	не до конца	2	2
21	в другом месте	2	2
22	по этому поводу	2	2
23	дело в том	4	2
24	с точки зрения	2	2
25	не в том	2	2
26	обратить внимание на	4	2
27	принять во внимание	2	2
