N	2gram	Propp_Isto_6	Narrotol
1	не только	10	31
2	но и	9	27
3	и не	10	23
4	при этом	3	19
5	может быть	11	15
6	в частности	3	14
7	в качестве	3	14
8	как и	5	13
9	а не	2	13
10	а в	3	13
11	только в	5	12
12	в этом	12	12
13	и в	26	11
14	в данном	3	11
15	своего рода	2	10
16	и его	7	10
17	тогда как	2	10
18	то что	6	9
19	то же	5	8
20	в том	12	8
21	данном случае	3	8
22	со стороны	3	8
23	не может	6	8
24	уже не	7	8
25	представляет собой	2	8
26	если бы	3	7
27	у него	7	7
28	том что	10	7
29	но в	7	7
30	к тому	2	6
31	а также	4	6
32	не в	3	6
33	и он	4	6
34	как бы	4	6
35	один из	3	6
36	жизни и	2	6
37	или в	3	6
38	в себе	3	6
39	в его	5	6
40	в этой	2	6
41	перед нами	2	5
42	можно сказать	2	5
43	в своей	3	5
44	так и	5	5
45	тем самым	2	5
46	и на	12	5
47	потому что	13	5
48	с его	4	4
49	о чем	2	4
50	никогда не	13	4
51	из этих	4	4
52	к себе	2	4
53	все же	8	4
54	но не	2	4
55	прежде всего	4	4
56	еще не	9	4
57	в ней	5	4
58	и тем	4	4
59	в нем	8	4
60	как в	6	4
61	так в	6	4
62	того что	2	4
63	в то	5	4
64	что у	2	4
65	о том	7	4
66	одна из	2	4
67	в одном	3	4
68	что в	12	3
69	обращается к	2	3
70	однако в	2	3
71	в своем	2	3
72	это не	4	3
73	не всегда	4	3
74	что он	9	3
75	сводится к	2	3
76	у нас	5	3
77	и как	2	3
78	когда в	2	3
79	но как	4	3
80	но для	2	3
81	он не	2	3
82	еще в	3	3
83	отношению к	2	3
84	по отношению	2	3
85	не было	3	3
86	но при	2	3
87	героя в	2	3
88	мы не	6	3
89	и то	3	3
90	их в	3	3
91	и с	6	3
92	и ее	3	3
93	как будто	3	3
94	в русской	6	3
95	как это	5	3
96	мы имеем	14	3
97	зависит от	4	2
98	в этих	2	2
99	не могло	2	2
100	на то	2	2
101	как мы	4	2
102	с появлением	6	2
103	о смерти	9	2
104	зависимости от	2	2
105	все что	4	2
106	всех его	2	2
107	до сих	4	2
108	она не	3	2
109	как у	2	2
110	во сне	3	2
111	не вполне	2	2
112	также не	2	2
113	всяком случае	2	2
114	не имеет	2	2
115	не будет	5	2
116	вместе с	8	2
117	сих пор	4	2
118	в форме	2	2
119	другой стороны	8	2
120	только что	2	2
121	после смерти	2	2
122	и только	3	2
123	и через	3	2
124	человека в	2	2
125	и вот	3	2
126	она в	2	2
127	происходит и	2	2
128	что не	2	2
129	с другой	10	2
130	ничего не	2	2
131	с ними	2	2
132	сказать что	3	2
133	во всяком	2	2
134	мы можем	7	2
135	и от	3	2
136	что касается	2	2
137	он и	2	2
138	что мы	2	2
139	здесь не	2	2
140	с ним	8	2
141	та же	3	2
