N	2gram	Bakhtin_sl_1	Myslijsy
1	потому что	2	49
2	для нас	2	31
3	то есть	26	30
4	и в	41	24
5	может быть	14	23
6	в сознании	2	23
7	и не	16	19
8	а не	15	18
9	в том	3	18
10	не только	16	15
11	того же	6	14
12	при этом	6	13
13	было бы	3	13
14	не в	7	13
15	в слове	7	13
16	но не	2	12
17	не может	14	12
18	то же	14	12
19	мы не	2	11
20	только в	6	11
21	таким образом	9	11
22	для него	3	10
23	и проч	2	10
24	в себе	3	10
25	так что	2	10
26	как в	8	10
27	так как	3	10
28	вовсе не	7	9
29	в нем	30	9
30	как бы	12	9
31	но и	16	9
32	а в	6	8
33	том что	2	8
34	более или	3	8
35	или менее	3	8
36	и на	14	8
37	в этом	12	8
38	могут быть	19	8
39	не могут	3	7
40	прежде всего	8	7
41	во всяком	7	7
42	всяком случае	5	7
43	зрения и	2	7
44	во всех	17	7
45	как и	4	7
46	того что	3	7
47	с этим	3	7
48	связи с	2	6
49	с другой	5	6
50	в одном	2	6
51	не есть	2	6
52	свою очередь	2	6
53	в свою	3	6
54	и т	28	6
55	не было	3	6
56	между тем	2	6
57	в то	14	6
58	слова в	8	5
59	столь же	2	5
60	с ним	7	5
61	что они	2	5
62	о том	3	5
63	так и	11	5
64	в них	6	5
65	для того	2	5
66	с другими	5	5
67	бы ни	3	5
68	из них	3	5
69	все же	7	5
70	в которой	4	5
71	никогда не	3	4
72	из этих	3	4
73	образом в	3	4
74	а между	2	4
75	уже не	2	4
76	одна из	2	4
77	до сих	2	4
78	еще не	4	4
79	предмета и	2	4
80	в самом	5	4
81	время как	2	4
82	в котором	2	4
83	сих пор	2	4
84	так в	2	4
85	с одной	4	4
86	к языку	3	4
87	одним словом	2	4
88	там где	4	4
89	так сказать	5	4
90	то время	2	4
91	в других	3	4
92	но в	8	4
93	это не	6	3
94	оно не	6	3
95	не как	4	3
96	и от	4	3
97	и все	4	3
98	на все	2	3
99	хотя и	2	3
100	ни было	2	3
101	одной стороны	4	3
102	и может	3	3
103	например в	2	3
104	в ней	4	3
105	и во	3	3
106	его в	3	3
107	и тем	2	3
108	не с	2	3
109	слова и	13	3
110	в целом	2	3
111	языка и	12	3
112	в языке	5	3
113	т п	23	3
114	т д	5	3
115	те же	2	3
116	если мы	2	3
117	и у	2	3
118	и для	4	3
119	той же	2	3
120	рядом с	4	3
121	с ними	3	3
122	и то	2	3
123	и вообще	2	3
124	далеко не	5	3
125	в этих	2	3
126	в эту	2	3
127	и той	2	2
128	все свои	2	2
129	в каждом	4	2
130	всех этих	4	2
131	время и	2	2
132	как увидим	2	2
133	перестает быть	2	2
134	связанные с	3	2
135	и его	14	2
136	но он	2	2
137	хотя бы	3	2
138	что все	2	2
139	между ними	2	2
140	к этому	2	2
141	ускользает от	2	2
142	не должно	3	2
143	с его	4	2
144	вместе со	2	2
145	остановимся на	2	2
146	у нас	2	2
147	за пределы	4	2
148	все эти	9	2
149	все слова	3	2
150	так же	2	2
151	у него	3	2
152	же время	12	2
153	одно и	2	2
154	на предмет	4	2
155	и следовательно	7	2
156	в его	13	2
157	и потому	4	2
158	слова так	2	2
159	слова для	2	2
160	один из	4	2
161	но эти	3	2
162	слово как	5	2
163	все это	5	2
164	другой стороны	4	2
165	а с	2	2
166	точке зрения	2	2
167	и других	3	2
168	на самом	2	2
169	мы видим	2	2
170	и по	2	2
171	должно быть	2	2
172	друг друга	3	2
173	или в	8	2
174	и здесь	3	2
175	нас в	2	2
176	сказать что	2	2
177	тому что	2	2
178	быть только	2	2
179	не на	5	2
180	в другом	2	2
181	на этом	2	2
182	отношении к	6	2
183	как оно	3	2
184	с которыми	2	2
185	оно может	2	2
186	влияния на	3	2
187	вне себя	3	2
