N	2gram	Kanaev_Sov_1	SlovoVZh
1	не может	17	16
2	точки зрения	12	14
3	может быть	12	14
4	как бы	4	13
5	таким образом	11	12
6	и в	7	12
7	в нашем	2	11
8	и не	6	10
9	так как	4	9
10	прежде всего	5	8
11	для нас	3	7
12	в нем	3	6
13	при этом	3	6
14	с помощью	4	6
15	в том	4	6
16	а не	3	5
17	то же	3	5
18	как и	6	5
19	отнюдь не	3	5
20	но в	3	5
21	и к	3	4
22	все же	3	4
23	жизни и	4	4
24	уже не	2	4
25	зависимости от	4	4
26	не в	3	4
27	в этом	7	4
28	в самом	2	4
29	не только	4	4
30	не менее	2	3
31	в некоторых	2	3
32	быть и	2	3
33	все это	3	3
34	то ни	2	3
35	и по	2	3
36	все эти	5	3
37	ясно что	3	3
38	и пр	2	3
39	и наконец	5	3
40	тем не	2	3
41	он должен	2	3
42	самом деле	2	3
43	мы не	9	3
44	в себе	3	3
45	еще не	3	3
46	уже в	3	2
47	но мы	3	2
48	в настоящее	2	2
49	но все	2	2
50	что в	2	2
51	вместе с	4	2
52	в зависимости	4	2
53	между собой	3	2
54	точку зрения	4	2
55	это не	4	2
56	и все	3	2
57	этих двух	2	2
58	с одной	2	2
59	конечно в	2	2
60	и что	2	2
61	с точки	5	2
62	же самое	2	2
63	форма в	2	2
64	такой же	2	2
65	мы можем	6	2
66	могут быть	2	2
67	настоящее время	2	2
68	если же	2	2
69	ничего не	6	2
70	в условиях	5	2
71	в его	2	2
72	и потому	3	2
