N	2gram	Losev_Dial_1	DiskursI
1	в себе	11	19
2	в качестве	2	16
3	и в	18	16
4	может быть	17	16
5	как и	2	16
6	в этом	12	16
7	и не	30	15
8	а не	14	14
9	в частности	2	12
10	в мире	2	11
11	но и	7	11
12	но в	6	11
13	том что	9	10
14	не только	13	10
15	со стороны	2	10
16	так и	9	9
17	не может	12	9
18	в том	9	8
19	как в	2	8
20	не менее	2	7
21	прежде всего	10	7
22	в нем	16	7
23	ни в	15	7
24	но не	4	7
25	в данном	3	7
26	отнюдь не	9	6
27	еще не	2	6
28	все же	5	6
29	в своей	2	6
30	то же	10	6
31	ни к	2	5
32	в противоположность	5	5
33	а с	2	5
34	что в	13	5
35	в своем	5	5
36	с другой	6	5
37	же время	4	5
38	для него	2	5
39	то что	13	5
40	в то	6	5
41	я в	2	5
42	к этому	2	4
43	одной стороны	2	4
44	как бы	11	4
45	этом отношении	2	4
46	с одной	2	4
47	потому что	14	4
48	в основе	3	4
49	точки зрения	17	4
50	и то	9	4
51	о том	4	4
52	не является	3	4
53	и может	2	3
54	могут быть	3	3
55	в этих	5	3
56	в них	3	3
57	это не	9	3
58	из этих	2	3
59	и все	3	3
60	или иной	3	3
61	уже не	2	3
62	и как	7	3
63	не в	6	3
64	здесь в	2	3
65	можно сказать	6	3
66	он не	3	3
67	той или	7	3
68	в его	3	3
69	в котором	4	3
70	из них	2	3
71	жизни и	3	3
72	но она	3	3
73	не было	6	3
74	все эти	2	3
75	также и	7	3
76	об одном	2	3
77	но это	8	3
78	в другом	2	3
79	не знает	2	3
80	только в	3	3
81	содержит в	3	2
82	что ни	3	2
83	же как	2	2
84	никогда не	9	2
85	а потом	5	2
86	у пушкина	4	2
87	и другого	2	2
88	стороны и	3	2
89	что он	11	2
90	такой же	2	2
91	является не	2	2
92	должна быть	3	2
93	одно и	4	2
94	не нужно	2	2
95	отношение к	5	2
96	о чем	2	2
97	в первую	2	2
98	в ней	3	2
99	качестве примера	2	2
100	не с	5	2
101	что и	3	2
102	с точки	12	2
103	с той	2	2
104	но уже	2	2
105	с ней	2	2
106	что же	3	2
107	может и	4	2
108	именно в	2	2
109	и состоит	2	2
110	все это	11	2
111	объекта и	2	2
112	другой стороны	4	2
113	и для	2	2
114	должно быть	3	2
115	а в	5	2
116	что как	2	2
117	и с	5	2
118	может иметь	3	2
119	не о	4	2
120	стремится к	2	2
121	говорить о	5	2
122	или по	2	2
123	и это	2	2
124	мы имеем	2	2
