N	2gram	Bakhtin_Pr_2	Myshleni
1	в том	8	28
2	и в	45	28
3	то что	5	28
4	в этом	20	27
5	того что	3	24
6	в развитии	2	24
7	потому что	8	22
8	не может	24	19
9	том что	7	19
10	таким образом	11	18
11	что он	7	18
12	только в	9	18
13	что в	6	17
14	не только	16	16
15	так же	5	15
16	по сравнению	2	15
17	сравнению с	2	14
18	может быть	18	13
19	сказать что	5	13
20	точки зрения	19	13
21	в сфере	2	12
22	и не	42	11
23	как бы	15	11
24	как мы	8	10
25	но и	15	10
26	от того	2	10
27	по отношению	8	10
28	так как	5	10
29	но не	6	10
30	отношению к	8	10
31	с точки	9	10
32	было бы	4	9
33	в процессе	2	9
34	мы можем	4	9
35	никогда не	17	8
36	в самом	13	8
37	мы видели	3	8
38	еще не	9	8
39	в зоне	4	8
40	тем самым	2	8
41	тем что	2	8
42	если бы	2	7
43	в нем	20	7
44	в сущности	7	7
45	в своем	5	7
46	и других	3	7
47	мы видим	2	7
48	отношение к	8	7
49	он не	9	7
50	то же	5	7
51	между ними	4	7
52	можно было	2	7
53	там где	6	7
54	в которой	2	7
55	и к	2	6
56	же как	4	6
57	так что	2	6
58	и как	2	6
59	и что	2	6
60	для него	9	6
61	не имеет	3	6
62	в то	5	6
63	его в	3	6
64	как и	14	6
65	можно сказать	2	6
66	так и	3	6
67	как раз	6	6
68	в чем	2	6
69	в области	2	6
70	это не	3	5
71	по самой	2	5
72	в пределах	4	5
73	друг с	2	5
74	и на	7	5
75	но в	6	5
76	что все	3	5
77	в зависимости	3	5
78	зависимости от	3	5
79	с другом	2	5
80	показать что	2	5
81	того как	3	5
82	могут быть	4	5
83	я не	6	4
84	именно в	3	4
85	в нашем	2	4
86	на то	2	4
87	не в	8	4
88	мы и	3	4
89	своего развития	2	4
90	например в	2	4
91	они не	2	4
92	самом начале	3	4
93	друг друга	7	4
94	на основе	2	4
95	в одной	5	4
96	и следовательно	7	4
97	мы имеем	2	4
98	в сознании	2	4
99	одного и	2	4
100	к другу	3	4
101	относится к	2	4
102	что и	5	4
103	во всех	4	4
104	в той	3	4
105	ко всем	2	4
106	в себе	5	4
107	которые в	2	4
108	за собой	2	3
109	в каждом	4	3
110	все время	3	3
111	как это	2	3
112	есть в	8	3
113	до конца	7	3
114	при этом	2	3
115	на его	5	3
116	и той	3	3
117	хотя и	2	3
118	в целом	5	3
119	в их	4	3
120	как на	2	3
121	этом отношении	2	3
122	те же	2	3
123	и по	2	3
124	в своих	4	3
125	образом в	2	3
126	в основе	2	3
127	и здесь	2	3
128	но как	2	3
129	бы в	5	3
130	с его	8	3
131	друг к	3	3
132	в них	4	3
133	лежит в	2	3
134	по себе	8	3
135	до сих	2	3
136	мы должны	4	3
137	не по	3	3
138	один из	2	3
139	в его	22	3
140	сих пор	2	3
141	как в	4	3
142	а не	10	3
143	и его	8	3
144	значение для	3	3
145	этот вопрос	4	3
146	не знает	4	3
147	и т.д	3	3
148	отношения к	2	3
149	не менее	2	2
150	он сам	6	2
151	но на	2	2
152	и другие	4	2
153	из которого	2	2
154	в этих	4	2
155	для этого	3	2
156	точку зрения	5	2
157	в конце	4	2
158	была бы	3	2
159	прежде всего	11	2
160	а только	2	2
161	но это	2	2
162	и более	2	2
163	самом деле	4	2
164	одним из	3	2
165	и от	3	2
166	в котором	7	2
167	и др	4	2
168	из них	9	2
169	все это	5	2
170	все эти	4	2
171	этой области	2	2
172	но только	2	2
173	с ними	4	2
174	опирается на	2	2
175	от него	3	2
176	что у	4	2
177	с ним	8	2
178	у него	6	2
179	он может	2	2
180	были бы	2	2
181	в одном	6	2
182	этом смысле	5	2
183	у нас	2	2
184	более того	5	2
185	она не	5	2
186	мы уже	3	2
187	в своей	6	2
188	что если	3	2
189	этого слова	2	2
190	все же	4	2
191	ее в	2	2
192	мысли и	3	2
193	всем этим	2	2
194	не на	4	2
195	нами в	4	2
196	а в	3	2
197	но с	3	2
198	только что	2	2
199	вот почему	3	2
200	с другими	7	2
201	в новую	2	2
202	что они	3	2
203	что эта	2	2
