N	2gram	Vinokur_Ku_3	Sovremen
1	не может	6	17
2	точки зрения	23	12
3	может быть	14	12
4	таким образом	9	11
5	мы не	3	9
6	в этом	16	7
7	и в	23	7
8	и не	10	6
9	как и	5	6
10	в результате	3	6
11	ничего не	6	6
12	что же	5	5
13	прежде всего	9	5
14	все эти	7	5
15	с точки	16	5
16	в условиях	2	5
17	как бы	5	4
18	мы видели	3	4
19	если мы	7	4
20	в целом	4	4
21	вместе с	2	4
22	в зависимости	7	4
23	это не	3	4
24	а в	5	4
25	вопрос о	11	4
26	не только	17	4
27	с помощью	6	4
28	же это	2	4
29	в том	22	4
30	в дальнейшем	2	4
31	точку зрения	2	4
32	мы должны	3	4
33	зависимости от	8	4
34	так как	9	4
35	уже в	3	3
36	но мы	2	3
37	все же	5	3
38	отнюдь не	3	3
39	все это	2	3
40	отличается от	2	3
41	мы называем	2	3
42	то же	6	3
43	ясно что	4	3
44	а не	11	3
45	и к	3	3
46	для нас	4	3
47	у нас	10	3
48	когда мы	3	3
49	не в	5	3
50	еще не	9	3
51	он в	2	3
52	при этом	6	3
53	было бы	16	3
54	в одном	2	3
55	как он	2	3
56	в первом	5	3
57	само собою	2	3
58	в области	14	3
59	что она	5	3
60	но в	2	3
61	так сказать	2	2
62	совершенно не	5	2
63	же мы	4	2
64	может иметь	3	2
65	не могут	5	2
66	что это	3	2
67	не менее	12	2
68	и есть	5	2
69	и именно	3	2
70	в некоторых	2	2
71	не будем	5	2
72	значение в	2	2
73	в нашем	7	2
74	то и	2	2
75	в отличие	2	2
76	из этих	5	2
77	тем же	2	2
78	о значении	2	2
79	что все	2	2
80	с одной	4	2
81	еще более	2	2
82	который как	2	2
83	можно использовать	2	2
84	как мы	5	2
85	уже не	8	2
86	или иной	7	2
87	самом деле	14	2
88	и что	7	2
89	и пр	3	2
90	что такое	4	2
91	говорим о	2	2
92	на этот	2	2
93	дает нам	2	2
94	тем не	9	2
95	она может	2	2
96	той же	3	2
97	в таком	4	2
98	но все	2	2
99	тот или	2	2
100	такой же	2	2
101	во всяком	2	2
102	на этом	2	2
103	могут быть	6	2
104	что в	13	2
105	не дает	2	2
106	говорить о	6	2
107	тот же	6	2
108	если же	2	2
109	в самом	13	2
110	отличие от	2	2
111	в его	11	2
112	все те	2	2
