N	2gram	Kanaev_Sov_1	Hudozhes
1	и не	6	16
2	в том	4	15
3	и в	7	15
4	не только	4	15
5	может быть	12	13
6	при этом	3	12
7	а в	4	12
8	в этом	7	11
9	в себе	3	11
10	как бы	4	10
11	то же	3	10
12	а не	3	10
13	такого рода	2	9
14	в его	2	9
15	точки зрения	12	9
16	или иной	2	7
17	в отличие	2	7
18	отличие от	2	7
19	но в	3	7
20	что в	2	6
21	не в	3	6
22	приводит к	2	6
23	не может	17	6
24	могут быть	2	5
25	в самом	2	5
26	в нем	3	5
27	уже не	2	5
28	а на	2	4
29	прежде всего	5	4
30	еще не	3	4
31	говорить о	2	4
32	и т.д	3	4
33	не менее	2	3
34	он должен	2	3
35	это не	4	3
36	и к	3	3
37	тем не	2	3
38	в свою	2	3
39	в целом	4	3
40	таким образом	11	3
41	как и	6	3
42	и что	2	3
43	с точки	5	3
44	в таком	2	3
45	их в	4	3
46	в которой	2	3
47	в области	3	3
48	на этом	2	2
49	в нашем	2	2
50	в одном	3	2
51	этих двух	2	2
52	роль в	2	2
53	одна из	3	2
54	свою очередь	2	2
55	времени и	2	2
56	и потому	3	2
57	с одной	2	2
58	все эти	5	2
59	из которых	2	2
60	и по	2	2
61	тот или	2	2
62	у него	2	2
63	в этой	3	2
