N	2gram	Tiupa_Disk_1	Tvorches
1	и в	16	21
2	как бы	5	17
3	в то	3	15
4	в его	7	13
5	то же	7	13
6	времени в	2	13
7	что в	4	12
8	как и	16	12
9	же время	4	12
10	то есть	20	12
11	с его	4	11
12	том что	19	11
13	как в	10	8
14	то что	5	8
15	в свою	3	7
16	в том	23	7
17	при этом	13	7
18	не только	28	7
19	и не	11	7
20	в году	2	7
21	и на	5	7
22	но в	8	7
23	что он	4	6
24	жизни в	2	6
25	и все	2	6
26	не менее	2	6
27	для него	4	6
28	в котором	5	6
29	человека в	2	6
30	по природе	5	6
31	а в	5	6
32	и его	2	6
33	в этом	15	6
34	о том	8	6
35	отнюдь не	8	5
36	а не	22	5
37	может быть	17	5
38	в этой	2	5
39	все же	3	5
40	таким образом	3	5
41	хотя бы	3	5
42	в своих	3	5
43	потому что	4	5
44	только в	7	5
45	в своем	6	4
46	прежде всего	11	4
47	и как	6	4
48	времени и	3	4
49	в целом	4	4
50	одной из	4	4
51	одним из	2	4
52	по сути	4	4
53	один из	3	4
54	своего рода	8	4
55	в своей	5	4
56	мысли и	2	4
57	не может	9	4
58	это не	3	4
59	в момент	2	4
60	уже в	2	3
61	никогда не	2	3
62	с другой	10	3
63	в каждом	2	3
64	это в	2	3
65	с ее	2	3
66	в соответствии	2	3
67	соответствии с	2	3
68	но не	11	3
69	на его	4	3
70	в самом	3	3
71	он ни	2	3
72	в нем	9	3
73	но и	14	3
74	дело не	2	3
75	в их	5	3
76	уже не	4	3
77	того что	3	3
78	и даже	3	3
79	сути дела	2	3
80	и по	2	3
81	хотя и	2	3
82	на протяжении	2	3
83	в рассказе	2	3
84	далеко не	10	3
85	представляет собой	17	3
86	в основе	7	2
87	в принципе	2	2
88	перед нами	3	2
89	зависит от	2	2
90	в частности	9	2
91	однако в	3	2
92	на том	2	2
93	в качестве	34	2
94	по крайней	2	2
95	одного из	2	2
96	к этому	2	2
97	в литературе	2	2
98	в современном	2	2
99	можно сказать	5	2
100	что и	3	2
101	крайней мере	2	2
102	а по	2	2
103	его как	2	2
104	об этом	2	2
105	не в	7	2
106	того же	3	2
107	было в	2	2
108	из них	3	2
109	к тому	5	2
110	в одной	3	2
111	общения с	3	2
112	себе не	3	2
113	и тем	2	2
114	наше время	2	2
115	еще в	3	2
116	когда он	2	2
117	данном случае	2	2
118	так и	8	2
119	приводит к	2	2
120	в наше	2	2
121	в отличие	5	2
122	как к	2	2
123	и того	3	2
124	именно в	3	2
125	одновременно и	2	2
126	в себя	5	2
127	что не	4	2
128	и он	2	2
129	на смену	3	2
130	отличие от	5	2
131	или в	2	2
132	ведет к	3	2
133	свидетельствует о	2	2
134	сказать что	3	2
135	в первом	3	2
136	могут быть	4	2
137	в данном	5	2
138	в себе	7	2
139	о котором	2	2
140	героя и	2	2
141	так сказать	2	2
142	в виду	2	2
143	мира в	3	2
